,reg_1,reg_2
0,Napa Valley,Napa
1,Alexander Valley,Sonoma
2,Oregon,Oregon Other
3,Paso Robles,Central Coast
4,Sonoma Coast,Sonoma
5,Clarksburg,Central Valley
6,Dry Creek Valley,Sonoma
7,Sonoma Valley,Sonoma
8,McMinnville,Willamette Valley
9,Paso Robles,Central Coast
10,Napa Valley,Napa
11,Columbia Valley (WA),Columbia Valley
12,Napa Valley,Napa
13,Columbia Valley (WA),Columbia Valley
14,Santa Ynez Valley,Central Coast
15,Columbia Valley (WA),Columbia Valley
16,California,California Other
17,Columbia Valley (WA),Columbia Valley
18,Alexander Valley,Sonoma
19,Howell Mountain,Napa
20,Calistoga,Napa
21,Napa Valley,Napa
22,Eola-Amity Hills,Willamette Valley
23,Napa Valley,Napa
24,Ancient Lakes,Columbia Valley
25,Knights Valley,Sonoma
26,Sonoma County,Sonoma
27,Sonoma Coast,Sonoma
28,Napa Valley,Napa
29,Columbia Valley (WA),Columbia Valley
30,Napa Valley,Napa
31,Santa Clara Valley,Central Coast
32,Yountville,Napa
33,Paso Robles,Central Coast
34,Paso Robles,Central Coast
35,Santa Ynez Valley,Central Coast
36,Alexander Valley,Sonoma
37,Rockpile,Sonoma
38,Napa Valley,Napa
39,Napa Valley,Napa
40,Santa Lucia Highlands,Central Coast
41,Spring Mountain District,Napa
42,Santa Lucia Highlands,Central Coast
43,Santa Ynez Valley,Central Coast
44,Santa Ynez Valley,Central Coast
45,Monterey,Central Coast
46,Napa Valley,Napa
47,Carmel Valley,Central Coast
48,Paso Robles,Central Coast
49,Santa Cruz Mountains,Central Coast
50,Paso Robles,Central Coast
51,Edna Valley,Central Coast
52,Paso Robles,Central Coast
53,Napa Valley,Napa
54,Russian River Valley,Sonoma
55,Sonoma Valley,Sonoma
56,Santa Lucia Highlands,Central Coast
57,Arroyo Seco,Central Coast
58,Sonoma Coast,Sonoma
59,Napa Valley,Napa
60,Nevada County,Sierra Foothills
61,Paso Robles,Central Coast
62,Arroyo Seco,Central Coast
63,Napa Valley,Napa
64,Dry Creek Valley,Sonoma
65,Paso Robles,Central Coast
66,Dry Creek Valley,Sonoma
67,Napa Valley,Napa
68,Sonoma Coast,Sonoma
69,Cayuga Lake,Finger Lakes
70,Napa Valley,Napa
71,Santa Barbara County,Central Coast
72,Diamond Mountain District,Napa
73,Napa Valley,Napa
74,Russian River Valley,Sonoma
75,Sonoma Mountain,Sonoma
76,Alexander Valley,Sonoma
77,Amador County,Sierra Foothills
78,St. Helena,Napa
79,Napa Valley,Napa
80,Santa Maria Valley,Central Coast
