work_year,experience_level,employment_type,job_field,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,MI,FT,DS,79833,Europe,0,Europe,L
2020,SE,FT,DS,260000,Asia,0,Asia,S
2020,SE,FT,DE,109024,Europe,50,Europe,M
2020,MI,FT,DA,20000,America,0,America,S
2020,SE,FT,DS,150000,America,50,America,L
2020,EN,FT,DA,72000,America,100,America,L
2020,SE,FT,DS,190000,America,100,America,S
2020,MI,FT,DS,35735,Europe,50,Europe,L
2020,MI,FT,DA,135000,America,100,America,L
2020,SE,FT,DE,125000,Oceania,50,Oceania,S
2020,EN,FT,DS,51321,Europe,0,Europe,S
2020,MI,FT,DS,40481,Asia,0,Asia,L
2020,EN,FT,DS,39916,Europe,0,Europe,M
2020,MI,FT,DA,87000,America,100,America,L
2020,MI,FT,DA,85000,America,100,America,L
2020,MI,FT,DA,8000,Asia,50,Asia,L
2020,EN,FT,DE,41689,Asia,100,Asia,S
2020,SE,FT,DE,114047,Europe,100,Europe,S
2020,EN,FT,DS,5707,Asia,50,Asia,M
2020,MI,FT,DE,56000,Europe,100,America,M
2020,MI,FT,DS,43331,Asia,0,Asia,M
2020,MI,FT,DA,6072,Asia,100,Asia,L
2020,SE,FT,DE,47899,Europe,50,Europe,L
2020,MI,FT,DA,98000,America,0,America,M
2020,MI,FT,DS,115000,Asia,0,Asia,L
2020,EX,FT,DS,325000,America,100,America,L
2020,EN,FT,DS,42000,Europe,50,Europe,L
2020,SE,FT,DE,33511,America,0,America,S
2020,EN,CT,DA,100000,America,100,America,L
2020,SE,FT,DS,117104,America,50,America,L
2020,MI,FT,DE,59303,Europe,100,Europe,S
2020,EN,FT,DE,70000,America,100,America,L
2020,SE,FT,DS,68428,Europe,100,America,L
2020,MI,FT,DS,450000,America,0,America,M
2020,MI,FT,DA,46759,Europe,50,Europe,L
2020,MI,FT,DE,74130,Europe,50,Europe,L
2020,MI,FT,DS,103000,America,100,America,L
2020,EN,FT,DS,250000,America,50,America,L
2020,EN,FT,DA,10000,Africa,100,Africa,S
2020,EN,FT,DS,138000,America,100,America,S
2020,MI,FT,DS,45760,Asia,100,America,S
2020,EX,FT,DE,79833,Europe,50,Europe,L
2020,MI,FT,DS,50180,Europe,0,Europe,M
2020,MI,FT,DE,106000,America,100,America,L
2020,MI,FT,DE,112872,Europe,50,Europe,L
2020,EN,PT,DS,15966,Europe,100,Europe,S
2020,MI,FT,DS,76958,Europe,100,Europe,S
2020,SE,FT,DE,188000,America,100,America,L
2020,MI,FT,DS,105000,America,100,America,L
2020,MI,FT,DE,70139,Europe,50,Europe,L
2020,EN,FT,DA,6072,Asia,0,Asia,S
2020,EN,FT,DA,91000,America,100,America,L
2020,EN,FT,DS,45896,Europe,50,Europe,S
2020,EN,FT,DE,54742,Asia,100,Europe,L
2020,SE,FL,DS,60000,ex_USSR,100,America,S
2020,SE,FT,DS,148261,Europe,100,Europe,M
2020,MI,FT,DS,38776,Europe,100,Europe,M
2020,MI,FT,DS,118000,America,100,America,M
2020,SE,FT,DS,120000,America,50,America,L
2020,MI,FT,DS,138350,America,100,America,M
2020,MI,FT,DE,110000,America,100,America,L
2020,MI,FT,DE,130800,Europe,100,America,M
2020,EN,PT,DS,21669,Europe,50,Europe,S
2020,SE,FT,DS,412000,America,100,America,L
2020,SE,FT,DS,45618,Europe,100,Europe,S
2020,EN,FT,DS,62726,Europe,50,Europe,S
2020,EN,FT,DS,49268,Europe,0,Europe,S
2020,SE,FT,DS,190200,America,100,America,M
2020,EN,FT,DS,105000,America,100,America,S
2020,SE,FT,DS,91237,Europe,0,Europe,S
2020,MI,FT,DS,62726,Europe,50,Europe,S
2020,MI,FT,DS,42197,Europe,50,Europe,S
2021,EN,FT,DS,82528,Europe,50,Europe,L
2021,EX,FT,DA,150000,Asia,100,America,L
2021,EX,FT,DE,235000,America,100,America,L
2021,SE,FT,DS,53192,Europe,50,Europe,L
2021,MI,FT,DA,100000,America,100,America,M
2021,MI,PT,DS,5409,Asia,50,Asia,M
2021,MI,CT,DS,270000,America,100,America,L
2021,EN,FT,DA,80000,America,100,America,M
2021,SE,FT,DA,79197,Europe,100,Europe,L
2021,MI,FT,DE,140000,America,100,America,L
2021,MI,FT,DS,54238,Europe,50,America,L
2021,MI,FT,DS,47282,Europe,100,Europe,S
2021,EX,FT,DS,153667,Europe,100,Europe,L
2021,MI,FT,DE,28476,Europe,100,Europe,L
2021,EN,FT,DA,59102,Europe,50,Europe,M
2021,MI,FT,DA,110000,America,100,America,L
2021,SE,FT,DA,170000,America,100,America,L
2021,SE,FT,DA,80000,Europe,100,America,S
2021,SE,FT,DA,88654,Europe,100,Europe,L
2021,EN,FT,DS,76833,Europe,100,Europe,S
2021,MI,FT,DA,19609,Asia,100,Asia,L
2021,SE,FT,DE,276000,America,0,America,L
2021,EN,FT,DS,29751,Asia,50,Asia,L
2021,MI,FT,DE,89294,Asia,50,Asia,L
2021,EN,PT,DS,12000,America,100,America,S
2021,MI,FT,DA,450000,America,100,America,L
2021,EN,FT,DS,70000,America,100,America,M
2021,MI,FT,DS,95746,Europe,100,America,S
2021,MI,FT,DA,75000,America,0,America,L
2021,SE,FT,DE,150000,America,100,America,L
2021,MI,FT,DA,36259,Europe,50,America,L
2021,MI,FT,DA,62000,America,0,America,L
2021,MI,FT,DS,73000,America,0,America,L
2021,MI,FT,DA,51519,Europe,50,Europe,L
2021,MI,FT,DS,187442,America,100,America,L
2021,SE,FT,DE,115000,America,100,America,S
2021,SE,FT,DE,150000,America,100,America,M
2021,EN,FT,DE,30428,Asia,100,Asia,L
2021,SE,FT,DS,94564,Europe,50,Europe,L
2021,SE,FT,DE,113476,Europe,100,Europe,M
2021,SE,FT,DE,103160,Europe,100,Europe,S
2021,EN,PT,DS,12000,Asia,100,America,M
2021,MI,FT,DE,45391,Europe,100,Europe,L
2021,EN,FT,DS,225000,America,100,America,L
2021,MI,FT,DS,50000,Africa,100,Africa,L
2021,MI,FT,DS,40189,Europe,100,Europe,M
2021,EN,FT,DA,90000,America,100,America,S
2021,MI,FT,DE,200000,America,100,America,L
2021,MI,FT,DE,60000,Europe,50,Europe,M
2021,SE,FT,DE,200000,America,100,America,M
2021,EN,FT,DA,50000,America,100,America,M
2021,EN,FT,DS,110037,Europe,0,Europe,L
2021,EN,PT,DA,10354,Europe,50,Europe,M
2021,MI,FT,DS,151000,America,100,America,L
2021,SE,FT,DS,120000,America,50,America,S
2021,MI,FT,DS,9466,Asia,0,Asia,S
2021,EN,FT,DS,20000,Asia,100,Asia,S
2021,SE,FT,DS,40570,Asia,50,Asia,L
2021,EN,FT,DS,100000,Asia,50,Asia,S
2021,EN,FT,DS,49646,Europe,50,Europe,M
2021,MI,FT,DS,38400,Asia,100,America,M
2021,SE,FT,DS,24000,America,100,America,M
2021,EN,FT,DS,100000,America,0,America,S
2021,MI,FT,DA,90000,America,100,America,M
2021,MI,FT,DS,63711,Asia,50,Asia,S
2021,MI,FT,DS,77364,Asia,50,Asia,S
2021,SE,FT,DS,220000,America,0,America,L
2021,EN,FT,DS,80000,America,100,America,M
2021,MI,FT,DA,135000,America,100,America,L
2021,SE,FT,DS,240000,America,0,America,L
2021,SE,FT,DE,150000,America,0,America,L
2021,MI,FT,DS,82500,America,100,America,S
2021,MI,FT,DE,100000,America,100,America,L
2021,SE,FT,DS,82744,Europe,50,Europe,M
2021,MI,FT,DS,62649,Europe,50,Europe,M
2021,MI,FT,DE,90000,America,100,America,L
2021,SE,FT,DE,153000,America,100,America,L
2021,SE,FT,DE,160000,America,100,America,S
2021,SE,FT,DS,168000,Asia,0,Asia,S
2021,MI,FT,DS,150000,America,100,America,M
2021,MI,FT,DS,75774,America,100,America,L
2021,EN,FT,DS,13400,ex_USSR,100,ex_USSR,L
2021,SE,FT,DS,144000,America,100,America,L
2021,SE,FT,DS,127221,America,50,America,L
2021,MI,FT,DS,119059,Asia,100,Asia,M
2021,MI,FT,DS,423000,America,50,America,L
2021,SE,FT,DA,120000,America,100,America,M
2021,EN,FT,DS,125000,America,100,America,S
2021,EX,FT,DE,230000,ex_USSR,50,ex_USSR,L
2021,EX,FT,DS,85000,ex_USSR,0,ex_USSR,M
2021,MI,FT,DE,28369,Europe,50,Europe,L
2021,EN,FT,DS,63831,Europe,50,Europe,L
2021,EX,FT,DS,130026,Europe,50,Europe,M
2021,SE,FT,DE,165000,America,100,America,L
2021,EN,FT,DE,80000,America,100,America,L
2021,EX,FT,DS,250000,America,0,America,L
2021,EN,FT,DA,55000,America,50,America,S
2021,MI,FT,DE,150000,America,100,America,L
2021,MI,FT,DE,170000,America,100,America,L
2021,MI,FT,DE,82528,Europe,100,Europe,L
2021,EN,FT,DA,60000,America,100,America,S
2021,SE,FT,DS,235000,America,100,America,L
2021,SE,FT,DS,60757,Europe,50,Europe,L
2021,SE,FT,DE,174000,America,100,America,L
2021,MI,FT,DS,2859,America,0,America,S
2021,MI,FT,DS,40038,America,100,America,L
2021,EN,FT,DS,81000,America,50,America,S
2021,MI,FT,DS,5679,Asia,100,America,S
2021,MI,FT,DE,22611,Asia,0,Asia,L
2021,MI,FT,DS,90734,Europe,50,Europe,L
2021,MI,FT,DE,26005,Europe,0,America,L
2021,SE,FT,DA,61896,Europe,50,Europe,L
2021,MI,FL,DS,12000,Asia,50,Asia,M
2021,MI,FT,DE,4000,Asia,100,Asia,M
2021,SE,FT,DA,50000,Asia,100,Europe,M
2021,EX,FT,DS,69741,Europe,100,Europe,S
2021,SE,FT,DE,76833,Europe,50,Europe,S
2021,MI,FT,DS,74000,Asia,50,Asia,S
2021,SE,FT,DS,152000,America,100,Europe,L
2021,EN,FT,DS,21844,America,50,America,M
2021,MI,FT,DE,18000,ex_USSR,0,ex_USSR,S
2021,SE,FT,DS,174000,America,100,America,L
2021,SE,FT,DS,96113,America,50,America,L
