Category;Managed brands
Luxury;Raffles
;Orient Express
;Delano
;SO/
;Sofitel Legend
;Fairmont
;SLS
;Sofitel
;The House of Originals
;Rixos
;onefinestay
Premium;Mantis
;MGallery
;Art Series
;Mondrian
;Pullman
;Swissôtel
;Angsana
;25 Hours
;Hyde
;Mövenpick
;Grand Mercure
;Peppers
;The Sebel
Midscale;Mantra
;Novotel
;Mercure
;Adagio
;Mama Shelter
;Tribe
Economy;Breakfree
;ibis
;ibis Styles
;ibis budget
;Jo&Joe
;hotelF1
Luxury;Aman
Midscale;Coast Hotels
;APA Hotels
;
;ASTON, Collection by ASTON, Huxley, Kamuela Villas, The Alana, HARPER, Quest Hotels, HotelNeo, favehotels, Nomad Hostels
Luxury;The Crest Collection
;The Unlimited Collection
;Preference Hotels
Premium;Ascott
;Oakwood Premier
Upscale;Oakwood
;Citadines
;lyf
Upper-Midscale;Somerset
;Vertu
Midscale;Harris Hotels & Resorts
Lower-Midscale;Fox Hotels
;YELLO
Economy;POP! Hotels
Uncategorized;Quest Apartment Hotels
Luxury;Avari hotels
Luxury;Banyan Tree
Premium;Cassia
;Angsana
Midscale;Dhawa
Luxury;Le Fouquet's Paris
;Le Majestic Cannes
;Les Neiges Courchevel
;Le Normandy Deauville
Luxury;Belmond
Premium;Best Western Premier
;Vīb
;BW Premier Collection
;Sadie
Midscale;Best Western
;Glō
;Best Western Plus
;Executive Residency by Best Western
;Aiden
Uncategorized;BW Signature Collection by Best Western
;SureStay Hotel by Best Western
;SureStay Plus Hotel by Best Western
;SureStay Collection by Best Western
Midscale;Yitel
;Homeinn Plus
Budget;Home Inns
;Motel 168
;Fairyland Hotels
Midscale;JI Hotel
;Starway Hotel
;Joya Hotel
;Manxin Hotels & Resorts
;HanTing Plus Hotel
;Orange Selected
Budget;HanTing Hotel
;Hi Inn
;Elan Hotel
;Orange Hotel
Premium;Ascend Collection
;Cambria Suites
;Clarion Hotel
Midscale;Comfort Suites
;Clarion Inn
;Mainstay Suites
;Quality Inn
