vader_score,vader_score_pos,vader_score_neg
0.9707,0.329,0.129
-0.7096,0.0,0.216
0.6908,0.74,0.0
0.8442,0.379,0.0
0.8834,0.77,0.0
0.8074,0.208,0.0
0.5859,0.148,0.066
0.8316,0.136,0.045
-0.296,0.0,0.268
0.6369,0.2,0.131
0.9287,0.296,0.0
0.7184,0.545,0.0
0.9217,0.42,0.0
0.97,0.392,0.039
0.7311,0.119,0.0
0.9717,0.457,0.0
-0.5273,0.753,0.27
0.0,0.0,0.0
-0.6997,0.0,0.212
0.891,0.269,0.0
0.6124,0.252,0.065
0.25,0.0,0.361
0.8953,0.619,0.0
0.4215,0.226,0.0
0.9939,0.471,0.0
0.4767,0.328,0.111
0.6318,0.491,0.394
0.9278,0.471,0.0
0.7579,0.684,0.0
-0.6894,0.744,0.212
0.942,0.323,0.0
0.9625,0.22,0.0
0.8381,0.318,0.0
0.7964,0.469,0.055
0.5256,0.396,0.11
0.9719,0.252,0.0
-0.6597,0.0,0.31
0.9159,0.33,0.0
0.7003,0.142,0.0
0.8738,0.672,0.065
0.9186,0.701,0.0
0.8519,0.337,0.0
0.9377,0.437,0.0
-0.0772,0.0,0.054
0.9153,0.702,0.0
0.7845,0.248,0.0
-0.5719,0.0,0.0
0.9446,0.477,0.0
0.9723,0.236,0.0
0.9677,0.262,0.0
0.34,0.552,0.128
0.8797,0.398,0.132
0.8313,0.576,0.056
0.736,0.325,0.098
0.8962,0.687,0.0
0.8777,0.502,0.0
0.6832,0.672,0.0
0.6705,0.212,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.8012,0.563,0.171
0.9022,0.787,0.0
0.743,0.425,0.0
0.247,0.533,0.239
0.0,0.0,0.0
0.0,0.756,0.0
-0.9039,0.574,0.201
0.9468,0.734,0.0
0.0,0.0,0.112
0.9531,0.593,0.0
0.7096,0.747,0.0
0.9371,0.269,0.0
0.9823,0.279,0.0
0.8126,0.559,0.0
0.7906,0.274,0.0
0.0,0.0,0.0
0.9378,0.435,0.0
0.9554,0.153,0.0
0.5719,0.804,0.259
-0.0258,0.0,0.0
0.9042,0.521,0.0
-0.2732,0.0,0.0
0.5859,0.352,0.0
0.8999,0.458,0.0
0.9186,0.226,0.0
0.0,0.0,0.0
0.7759,0.575,0.0
0.8922,0.4,0.0
0.7645,0.173,0.156
0.9576,0.429,0.042
0.9001,0.703,0.0
0.775,0.186,0.0
0.937,0.375,0.0
0.4951,0.451,0.1
-0.4023,0.0,0.252
0.8293,0.61,0.274
0.0,0.0,0.0
0.9552,0.305,0.0
0.908,0.449,0.0
0.9211,0.34,0.0
-0.2047,0.767,0.196
0.0,0.444,0.0
0.0,0.0,0.0
0.9015,0.728,0.109
0.9595,0.652,0.135
0.2815,0.0,0.128
0.9623,0.459,0.0
0.9571,0.453,0.0
0.7939,0.638,0.0
0.34,0.545,0.0
-0.796,0.0,0.22
0.8658,0.337,0.0
0.9593,0.502,0.0
0.9686,0.632,0.0
0.8397,0.229,0.268
0.5267,0.487,0.0
0.9042,0.199,0.088
0.7316,0.621,0.135
0.5859,0.636,0.0
0.6249,0.804,0.0
-0.8858,0.0,0.137
0.9446,0.492,0.074
0.647,0.444,0.0
0.6369,0.512,0.0
0.5859,0.792,0.0
0.2846,0.32,0.0
0.0,0.0,0.0
