"category_id";"category_name";"indicator_id";"indicator_parent";"indicator_name";"link";"begin_dt";"end_dt"
5;"Денежно-кредитная статистика-Структура денежной массы";5;-1;"Денежный агрегат М0";"/statistics/macro_itm/dkfs/#a_128613file";1992;2024
5;"Денежно-кредитная статистика-Структура денежной массы";6;-1;"Денежный агрегат М1";"/statistics/macro_itm/dkfs/#a_128613file";1992;2024
5;"Денежно-кредитная статистика-Структура денежной массы";7;-1;"Денежный агрегат М2";"/statistics/macro_itm/dkfs/#a_128613file";1992;2024
5;"Денежно-кредитная статистика-Структура денежной массы";8;-1;"Широкая денежная масса";"/statistics/macro_itm/dkfs/#a_128613file";1992;2024
8;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Ключевые агрегаты";10;-1;"Сальдо счета операций с капиталом";"/statistics/macro_itm/svs/#a_71397";1994;2024
8;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Ключевые агрегаты";9;-1;"Сальдо счета текущих операций";"/statistics/macro_itm/svs/#a_71397";1994;2024
8;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Ключевые агрегаты";11;-1;"Сальдо финансового счета";"/statistics/macro_itm/svs/#a_71397";1994;2024
8;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Ключевые агрегаты";12;-1;"Чистые ошибки и пропуски";"/statistics/macro_itm/svs/#a_71397";1994;2024
10;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Счет операций с капиталом";18;-1;"Капитальные трансферты";"/statistics/macro_itm/svs/#a_71397";1994;2024
10;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Счет операций с капиталом";17;-1;"Приобретение/выбытие непроизведенных нефинансовых активов";"/statistics/macro_itm/svs/#a_71397";1994;2024
9;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Счет текущих операций";16;-1;"Вторичные доходы";"/statistics/macro_itm/svs/#a_71397";1994;2024
9;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Счет текущих операций";15;-1;"Первичные доходы";"/statistics/macro_itm/svs/#a_71397";1994;2024
9;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Счет текущих операций";13;-1;"Товары";"/statistics/macro_itm/svs/#a_71397";1994;2024
9;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Счет текущих операций";14;-1;"Услуги";"/statistics/macro_itm/svs/#a_71397";1994;2024
11;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Финансовый счет";20;-1;"Портфельные инвестиции";"/statistics/macro_itm/svs/#a_71397";1994;2024
11;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Финансовый счет";21;-1;"Производные финансовые инструменты (кроме резервов) и опционы на акции для работников";"/statistics/macro_itm/svs/#a_71397";1994;2024
11;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Финансовый счет";22;-1;"Прочие инвестиции";"/statistics/macro_itm/svs/#a_71397";1994;2024
11;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Финансовый счет";19;-1;"Прямые инвестиции";"/statistics/macro_itm/svs/#a_71397";1994;2024
11;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Финансовый счет";23;-1;"Резервные активы";"/statistics/macro_itm/svs/#a_71397";1994;2024
12;"Статистика внешнего сектора-Платежный баланс Российской Федерации-Чистые ошибки и пропуски";24;-1;"Чистые ошибки и пропуски";"/statistics/macro_itm/svs/#a_71397";1994;2024
21;"Статистика кредитования-По ипотечным жилищным кредитам";46;-1;"Задолженность по кредитам";"/statistics/bank_sector/mortgage/#a_62963";2019;2024
21;"Статистика кредитования-По ипотечным жилищным кредитам";44;-1;"Количество кредитов";"/statistics/bank_sector/mortgage/#a_62959";2019;2024
21;"Статистика кредитования-По ипотечным жилищным кредитам";45;-1;"Объем кредитов";"/statistics/bank_sector/mortgage/#a_62960";2019;2024
21;"Статистика кредитования-По ипотечным жилищным кредитам";47;-1;"Просроченная задолженность по кредитам";"/statistics/bank_sector/mortgage/#a_62963";2019;2024
21;"Статистика кредитования-По ипотечным жилищным кредитам";48;-1;"Средневзвешенный срок по кредитам";"/statistics/bank_sector/mortgage/#a_62962";2019;2024
23;"Статистика кредитования-По кредитам субъектам МСП";53;-1;"Задолженность по кредитам";"/statistics/bank_sector/sors/#a_67587";2019;2024
23;"Статистика кредитования-По кредитам субъектам МСП";52;-1;"Объем кредитов";"/statistics/bank_sector/sors/#a_67585";2019;2024
23;"Статистика кредитования-По кредитам субъектам МСП";54;-1;"Просроченная задолженность по кредитам";"/statistics/bank_sector/sors/#a_67587";2019;2024
20;"Статистика кредитования-По кредитам физическим лицам";42;-1;"Задолженность по кредитам";"/statistics/bank_sector/sors/#a_63214";2019;2024
20;"Статистика кредитования-По кредитам физическим лицам";41;-1;"Объем кредитов";"/statistics/bank_sector/sors/#a_63214";2019;2024
20;"Статистика кредитования-По кредитам физическим лицам";43;-1;"Просроченная задолженность по кредитам";"/statistics/bank_sector/sors/#a_63214";2019;2024
22;"Статистика кредитования-По кредитам юридическим лицам и индивидуальным предпринимателям (в т.ч. МСП)";50;-1;"Задолженность по кредитам";"/statistics/bank_sector/sors/#a_67572";2019;2024
22;"Статистика кредитования-По кредитам юридическим лицам и индивидуальным предпринимателям (в т.ч. МСП)";49;-1;"Объем кредитов";"/statistics/bank_sector/sors/#a_67568";2019;2024
22;"Статистика кредитования-По кредитам юридическим лицам и индивидуальным предпринимателям (в т.ч. МСП)";51;-1;"Просроченная задолженность по кредитам";"/statistics/bank_sector/sors/#a_67572";2019;2024
19;"Статистика процентных ставок-По депозитам-В территориальном разрезе";40;-1;"Ставки по вкладам (депозитам) нефинансовых организаций в рублях";"/statistics/bank_sector/int_rat/#a_128171";2019;2024
19;"Статистика процентных ставок-По депозитам-В территориальном разрезе";39;-1;"Ставки по вкладам (депозитам) физических лиц в рублях";"/statistics/bank_sector/int_rat/#a_128170";2019;2024
18;"Статистика процентных ставок-По депозитам-В целом по Российской Федерации";38;-1;"Ставки по вкладам (депозитам) нефинансовых организаций";"/statistics/bank_sector/int_rat/#a_87387";2014;2024
18;"Статистика процентных ставок-По депозитам-В целом по Российской Федерации";37;-1;"Ставки по вкладам (депозитам) физических лиц";"/statistics/bank_sector/int_rat/#a_87387";2014;2024
16;"Статистика процентных ставок-По кредитам-В разрезе по видам экономической деятельности";35;-1;"Ставки по кредитам нефинансовым организациям";"/statistics/bank_sector/int_rat/#a_128167";2019;2024
16;"Статистика процентных ставок-По кредитам-В разрезе по видам экономической деятельности";36;-1;"Ставки по кредитам нефинансовым организациям-субъектам МСП";"/statistics/bank_sector/int_rat/#a_128167";2019;2024
15;"Статистика процентных ставок-По кредитам-В территориальном разрезе";33;-1;"Ставки по автокредитам в рублях";"/statistics/bank_sector/int_rat/#a_128168";2019;2024
15;"Статистика процентных ставок-По кредитам-В территориальном разрезе";34;-1;"Ставки по ипотечным жилищным кредитам";"/statistics/bank_sector/mortgage/#a_62962";2019;2024
15;"Статистика процентных ставок-По кредитам-В территориальном разрезе";30;-1;"Ставки по кредитам нефинансовым организациям в рублях";"/statistics/bank_sector/int_rat/#a_128169";2019;2024
15;"Статистика процентных ставок-По кредитам-В территориальном разрезе";31;-1;"Ставки по кредитам нефинансовым организациям-субъектам МСП в рублях";"/statistics/bank_sector/int_rat/#a_128169";2019;2024
15;"Статистика процентных ставок-По кредитам-В территориальном разрезе";32;-1;"Ставки по кредитам физическим лицам в рублях";"/statistics/bank_sector/int_rat/#a_128168";2019;2024
14;"Статистика процентных ставок-По кредитам-В целом по Российской Федерации";28;-1;"Ставки по автокредитам";"/statistics/bank_sector/int_rat/#a_87345";2014;2024
14;"Статистика процентных ставок-По кредитам-В целом по Российской Федерации";29;-1;"Ставки по ипотечным жилищным кредитам";"/statistics/bank_sector/mortgage/#a_62949";2017;2024
