"date";"periodicity";"title";"m1";"m2";"value";"dim"
"2021-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.12;"% годовых"
"2021-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";2.7;"% годовых"
"2021-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2021-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.91;"% годовых"
"2021-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2021-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2021-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.09;"% годовых"
"2021-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2021-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";0.46;"% годовых"
"2021-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.87;"% годовых"
"2021-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";2.75;"% годовых"
"2021-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2021-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.1;"% годовых"
"2021-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2021-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";0.35;"% годовых"
"2021-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.0;"% годовых"
"2021-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";2.94;"% годовых"
"2021-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";0.32;"% годовых"
"2021-07-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.62;"% годовых"
"2021-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";2.94;"% годовых"
"2021-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2021-08-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.29;"% годовых"
"2021-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2021-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";0.51;"% годовых"
"2021-09-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.07;"% годовых"
"2021-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2021-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2021-10-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.06;"% годовых"
"2021-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";2.94;"% годовых"
"2021-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2021-11-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2021-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.2;"% годовых"
"2021-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";2.89;"% годовых"
"2021-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2021-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.02;"% годовых"
"2022-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.18;"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";1.24;"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.62;"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";1.8;"% годовых"
"2022-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2022-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.42;"% годовых"
"2022-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
