"indicator_id";"indicator_parent";"measure1_id";"measure2_id";"unit_id";"indicator_name";"measure1_name";"measure2_name";"un_name"
7;-1;"";12;3;"Денежный агрегат М2";"";"Всего";"млрд руб."
7;-1;"";19;3;"Денежный агрегат М2";"";"Денежный агрегат М1";"млрд руб."
7;-1;"";20;3;"Денежный агрегат М2";"";"Другие депозиты других финансовых организаций";"млрд руб."
7;-1;"";21;3;"Денежный агрегат М2";"";"Другие депозиты нефинансовых организаций";"млрд руб."
7;-1;"";22;3;"Денежный агрегат М2";"";"Другие депозиты домашних хозяйств";"млрд руб."
8;-1;"";12;3;"Широкая денежная масса";"";"Всего";"млрд руб."
8;-1;"";23;3;"Широкая денежная масса";"";"Денежный агрегат М2";"млрд руб."
8;-1;"";24;3;"Широкая денежная масса";"";"Депозиты в иностранной валюте других финансовых организаций";"млрд руб."
8;-1;"";25;3;"Широкая денежная масса";"";"Депозиты в иностранной валюте нефинансовых организаций";"млрд руб."
8;-1;"";26;3;"Широкая денежная масса";"";"Депозиты в иностранной валюте домашних хозяйств";"млрд руб."
8;-1;"";27;3;"Широкая денежная масса";"";"Депозитные и сберегательные сертификаты";"млрд руб."
