Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737112639,2025-01-17T11:17:19Z,NWC9162,"71.217361,72.058495",0,13,64
1737112647,2025-01-17T11:17:27Z,NWC9162,"71.217651,72.060547",0,12,64
1737112654,2025-01-17T11:17:34Z,NWC9162,"71.217834,72.061783",0,13,67
1737112664,2025-01-17T11:17:44Z,NWC9162,"71.218079,72.06356",0,13,64
1737112673,2025-01-17T11:17:53Z,NWC9162,"71.2183,72.065125",0,14,64
1737112680,2025-01-17T11:18:00Z,NWC9162,"71.218491,72.066406",0,14,64
1737112689,2025-01-17T11:18:09Z,NWC9162,"71.218758,72.068253",0,15,64
1737112697,2025-01-17T11:18:17Z,NWC9162,"71.218918,72.069374",0,11,64
1737112705,2025-01-17T11:18:25Z,NWC9162,"71.219139,72.070198",0,9,47
1737112709,2025-01-17T11:18:29Z,NWC9162,"71.219269,72.070496",0,10,39
1737112712,2025-01-17T11:18:32Z,NWC9162,"71.219406,72.070747",0,9,33
1737112717,2025-01-17T11:18:37Z,NWC9162,"71.219574,72.071075",0,8,36
1737112721,2025-01-17T11:18:41Z,NWC9162,"71.219643,72.071304",0,7,42
1737112724,2025-01-17T11:18:44Z,NWC9162,"71.219666,72.071579",0,5,56
1737112728,2025-01-17T11:18:48Z,NWC9162,"71.21962,72.071831",0,5,81
1737112734,2025-01-17T11:18:54Z,NWC9162,"71.219513,72.072083",0,5,115
1737112746,2025-01-17T11:19:06Z,NWC9162,"71.219299,72.071991",0,4,171
1737112753,2025-01-17T11:19:13Z,NWC9162,"71.219223,72.071648",0,4,205
1737112759,2025-01-17T11:19:19Z,NWC9162,"71.21917,72.071289",0,4,227
1737112763,2025-01-17T11:19:23Z,NWC9162,"71.219162,72.070999",0,4,241
1737112793,2025-01-17T11:19:53Z,NWC9162,"71.21907,72.070389",0,9,244
1737112801,2025-01-17T11:20:01Z,NWC9162,"71.218582,72.067024",0,47,244
1737112809,2025-01-17T11:20:09Z,NWC9162,"71.217476,72.059326",0,84,244
1737112831,2025-01-17T11:20:31Z,NWC9162,"71.211823,72.020004",700,167,246
1737112841,2025-01-17T11:20:41Z,NWC9162,"71.208572,71.996155",1200,168,246
1737112850,2025-01-17T11:20:50Z,NWC9162,"71.205887,71.976624",1600,171,247
1737112856,2025-01-17T11:20:56Z,NWC9162,"71.203812,71.962036",1925,173,245
1737112860,2025-01-17T11:21:00Z,NWC9162,"71.202156,71.952362",2150,172,241
1737112863,2025-01-17T11:21:03Z,NWC9162,"71.201324,71.948242",2250,171,238
1737112865,2025-01-17T11:21:05Z,NWC9162,"71.200287,71.94397",2350,171,235
1737112867,2025-01-17T11:21:07Z,NWC9162,"71.19928,71.940208",2450,171,232
1737112869,2025-01-17T11:21:09Z,NWC9162,"71.198067,71.93634",2550,169,227
1737112871,2025-01-17T11:21:11Z,NWC9162,"71.196899,71.933136",2625,168,224
1737112874,2025-01-17T11:21:14Z,NWC9162,"71.195389,71.929222",2725,166,220
1737112876,2025-01-17T11:21:16Z,NWC9162,"71.193787,71.926048",2850,164,214
1737112878,2025-01-17T11:21:18Z,NWC9162,"71.192245,71.92337",2925,162,210
1737112880,2025-01-17T11:21:20Z,NWC9162,"71.190948,71.921562",3025,160,206
1737112883,2025-01-17T11:21:23Z,NWC9162,"71.189163,71.91954",3100,158,201
1737112885,2025-01-17T11:21:25Z,NWC9162,"71.187683,71.918182",3175,158,197
1737112887,2025-01-17T11:21:27Z,NWC9162,"71.186325,71.916939",3250,158,195
1737112889,2025-01-17T11:21:29Z,NWC9162,"71.184799,71.915741",3325,158,195
1737112891,2025-01-17T11:21:31Z,NWC9162,"71.183441,71.914772",3400,157,193
1737112893,2025-01-17T11:21:33Z,NWC9162,"71.181702,71.913467",3500,157,193
1737112896,2025-01-17T11:21:36Z,NWC9162,"71.180191,71.91217",3575,157,193
1737112898,2025-01-17T11:21:38Z,NWC9162,"71.178741,71.911163",3650,156,194
1737112900,2025-01-17T11:21:40Z,NWC9162,"71.177254,71.909943",3725,157,194
1737112902,2025-01-17T11:21:42Z,NWC9162,"71.175346,71.908417",3800,159,194
1737112904,2025-01-17T11:21:44Z,NWC9162,"71.173904,71.907196",3850,161,194
1737112907,2025-01-17T11:21:47Z,NWC9162,"71.172462,71.906128",3875,163,194
1737112909,2025-01-17T11:21:49Z,NWC9162,"71.17099,71.904938",3925,165,194
1737112911,2025-01-17T11:21:51Z,NWC9162,"71.169434,71.903641",3950,168,194
1737112913,2025-01-17T11:21:53Z,NWC9162,"71.167389,71.902161",4000,170,194
1737112920,2025-01-17T11:22:00Z,NWC9162,"71.161972,71.897858",4150,179,194
1737112929,2025-01-17T11:22:09Z,NWC9162,"71.154396,71.891785",4325,188,194
1737112936,2025-01-17T11:22:16Z,NWC9162,"71.148529,71.88736",4475,196,194
1737112944,2025-01-17T11:22:24Z,NWC9162,"71.140915,71.881378",4650,207,194
1737112951,2025-01-17T11:22:31Z,NWC9162,"71.134735,71.87661",4800,213,194
1737112960,2025-01-17T11:22:40Z,NWC9162,"71.126373,71.870117",4950,225,194
1737112966,2025-01-17T11:22:46Z,NWC9162,"71.119995,71.865234",5100,234,194
1737112979,2025-01-17T11:22:59Z,NWC9162,"71.105194,71.85379",5400,250,194
1737112992,2025-01-17T11:23:12Z,NWC9162,"71.090759,71.842651",5800,261,194
1737113007,2025-01-17T11:23:27Z,NWC9162,"71.072891,71.828758",6525,264,194
1737113021,2025-01-17T11:23:41Z,NWC9162,"71.056229,71.815605",7250,265,194
1737113034,2025-01-17T11:23:54Z,NWC9162,"71.040527,71.803314",7800,270,194
1737113048,2025-01-17T11:24:08Z,NWC9162,"71.023956,71.784668",8375,276,207
1737113050,2025-01-17T11:24:10Z,NWC9162,"71.021866,71.781006",8450,277,209
1737113052,2025-01-17T11:24:12Z,NWC9162,"71.019653,71.775993",8550,276,214
1737113054,2025-01-17T11:24:14Z,NWC9162,"71.017593,71.77079",8650,276,217
1737113057,2025-01-17T11:24:17Z,NWC9162,"71.014801,71.762695",8775,276,221
1737113059,2025-01-17T11:24:19Z,NWC9162,"71.013161,71.75705",8875,276,226
1737113061,2025-01-17T11:24:21Z,NWC9162,"71.011482,71.750641",8950,276,230
1737113064,2025-01-17T11:24:24Z,NWC9162,"71.009575,71.742401",9050,276,233
1737113066,2025-01-17T11:24:26Z,NWC9162,"71.008316,71.735992",9125,276,239
1737113068,2025-01-17T11:24:28Z,NWC9162,"71.006874,71.726685",9250,276,242
1737113070,2025-01-17T11:24:30Z,NWC9162,"71.005707,71.717987",9350,277,246
1737113073,2025-01-17T11:24:33Z,NWC9162,"71.005013,71.710968",9450,276,250
1737113075,2025-01-17T11:24:35Z,NWC9162,"71.004311,71.701355",9575,275,254
1737113077,2025-01-17T11:24:37Z,NWC9162,"71.003891,71.693726",9700,273,257
1737113079,2025-01-17T11:24:39Z,NWC9162,"71.003586,71.683914",9850,272,263
1737113082,2025-01-17T11:24:42Z,NWC9162,"71.003586,71.676247",9975,270,267
1737113084,2025-01-17T11:24:44Z,NWC9162,"71.003677,71.668587",10125,269,270
1737113086,2025-01-17T11:24:46Z,NWC9162,"71.003937,71.659851",10275,267,274
1737113088,2025-01-17T11:24:48Z,NWC9162,"71.004311,71.650085",10400,266,276
1737113090,2025-01-17T11:24:50Z,NWC9162,"71.004639,71.642151",10500,266,276
1737113093,2025-01-17T11:24:53Z,NWC9162,"71.004875,71.6362",10575,268,277
1737113095,2025-01-17T11:24:55Z,NWC9162,"71.005341,71.626282",10650,269,277
1737113097,2025-01-17T11:24:57Z,NWC9162,"71.005692,71.618858",10700,271,278
1737113099,2025-01-17T11:24:59Z,NWC9162,"71.006149,71.609612",10750,273,278
1737113101,2025-01-17T11:25:01Z,NWC9162,"71.0065,71.602478",10800,276,278
1737113103,2025-01-17T11:25:03Z,NWC9162,"71.006973,71.592987",10850,278,278
1737113105,2025-01-17T11:25:05Z,NWC9162,"71.007339,71.585472",10875,280,278
1737113108,2025-01-17T11:25:08Z,NWC9162,"71.007805,71.575775",10925,281,278
1737113110,2025-01-17T11:25:10Z,NWC9162,"71.008133,71.568146",10975,285,278
1737113124,2025-01-17T11:25:24Z,NWC9162,"71.010643,71.512146",11275,297,277
1737113137,2025-01-17T11:25:37Z,NWC9162,"71.01297,71.454353",11925,298,277
1737113150,2025-01-17T11:25:50Z,NWC9162,"71.013565,71.401161",12525,301,267
1737113152,2025-01-17T11:25:52Z,NWC9162,"71.013252,71.394196",12600,302,264
1737113154,2025-01-17T11:25:54Z,NWC9162,"71.01265,71.383377",12700,303,261
1737113156,2025-01-17T11:25:56Z,NWC9162,"71.011963,71.374557",12775,305,257
1737113158,2025-01-17T11:25:58Z,NWC9162,"71.010925,71.363525",12900,306,254
1737113161,2025-01-17T11:26:01Z,NWC9162,"71.009895,71.354828",12975,307,251
1737113163,2025-01-17T11:26:03Z,NWC9162,"71.008781,71.347351",13050,309,248
1737113165,2025-01-17T11:26:05Z,NWC9162,"71.007431,71.339111",13150,310,243
1737113167,2025-01-17T11:26:07Z,NWC9162,"71.005508,71.329315",13250,312,240
1737113169,2025-01-17T11:26:09Z,NWC9162,"71.003906,71.322083",13325,314,237
