2025-04-23 10:20:11.862314 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:20:14.880823 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:20:19.462586 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:24:24.555056 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:24:28.460889 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:24:51.671050 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:31:06.726896 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:40:00.068453 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:40:09.767413 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:49:06.382686 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:50:37.745654 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 10:51:15.561722 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 11:20:25.884747 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-23 11:40:33.110214 - ID: 1890642056, Name: Лариса, Username: @None
2025-04-23 11:40:47.637463 - ID: 1890642056, Name: Лариса, Username: @None
2025-04-23 11:44:05.009722 - ID: 1890642056, Name: Лариса, Username: @None
2025-04-24 06:34:01.485227 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-24 06:34:06.852990 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-24 06:35:37.850302 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-24 11:13:56.523135 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
2025-04-24 11:23:51.711095 - ID: 218553624, Name: Yuriy Novikov, Username: @yuriynovikov
