dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust,rain.1h
1735664400,1735700070,1735725115,-12.72,-19.72,1030,89,-14,100,3.87,208,Clouds,overcast clouds,,,,
1735668000,1735700070,1735725115,-12.45,-19.45,1030,92,-13.37,100,4.0,200,Snow,light snow,10000.0,,,
1735671600,1735700070,1735725115,-12.38,-19.38,1030,85,-14.16,100,4.0,210,Clouds,overcast clouds,10000.0,,,
1735675200,1735700070,1735725115,-13.82,-20.1,1030,92,-14.73,100,3.0,200,Snow,light snow,10000.0,,,
1735678800,1735700070,1735725115,-13.84,-20.84,1029,85,-15.6,100,4.0,210,Snow,light snow,10000.0,,,
1735682400,1735700070,1735725115,-14.96,-21.47,1029,85,-16.71,100,3.0,210,Clouds,overcast clouds,10000.0,,,
1735686000,1735700070,1735725115,-14.99,-14.99,1030,85,-16.74,75,1.0,210,Clouds,broken clouds,10000.0,,,
1735689600,1735700070,1735725115,-15.73,-15.73,1029,85,-17.47,75,1.0,200,Clouds,broken clouds,10000.0,,,
1735693200,1735700070,1735725115,-15.57,-15.57,1029,85,-17.31,40,1.0,190,Clouds,scattered clouds,10000.0,,,
1735696800,1735700070,1735725115,-17.04,-17.04,1029,78,-19.66,40,0.0,0,Clouds,scattered clouds,10000.0,,,
1735700400,1735700070,1735725115,-17.35,-24.18,1029,85,-19.07,21,2.89,174,Clouds,few clouds,,,,
1735704000,1735700070,1735725115,-17.25,-17.25,1029,85,-18.97,0,1.0,210,Clear,clear sky,10000.0,,,
1735707600,1735700070,1735725115,-16.53,-16.53,1028,83,-18.51,63,1.0,180,Clouds,broken clouds,9000.0,,,
1735711200,1735700070,1735725115,-15.05,-22.05,1028,82,-17.18,11,4.0,200,Clouds,few clouds,9000.0,,,
1735714800,1735700070,1735725115,-13.24,-17.88,1027,84,-15.14,15,2.0,200,Clouds,few clouds,8000.0,,,
1735718400,1735700070,1735725115,-13.41,-19.61,1027,83,-15.44,19,3.0,200,Clouds,few clouds,8000.0,,,
1735722000,1735700070,1735725115,-13.2,-17.83,1027,82,-15.36,8,2.0,180,Clear,clear sky,9000.0,,,
1735725600,1735700070,1735725115,-16.09,-23.04,1027,86,-17.7,9,3.16,171,Clear,clear sky,,,,
1735729200,1735700070,1735725115,-16.11,-23.06,1027,81,-18.35,33,3.15,169,Clouds,scattered clouds,,,,
1735732800,1735700070,1735725115,-15.96,-22.77,1026,82,-18.08,78,3.07,168,Clouds,broken clouds,,,,
1735736400,1735700070,1735725115,-15.7,-22.4,1026,82,-17.82,98,3.03,167,Clouds,overcast clouds,,,,
1735740000,1735700070,1735725115,-13.74,-20.19,1025,84,-15.63,99,3.14,167,Clouds,overcast clouds,,,,
1735743600,1735700070,1735725115,-11.65,-17.49,1025,85,-13.44,75,3.0,170,Snow,light snow,10000.0,,,
1735747200,1735700070,1735725115,-11.25,-18.1,1024,85,-13.05,75,4.0,180,Clouds,broken clouds,9000.0,,,
1735750800,1735786452,1735811589,-10.19,-16.8,1024,86,-11.88,75,4.0,190,Snow,light snow,7000.0,,,
1735754400,1735786452,1735811589,-9.06,-16.06,1023,87,-10.63,75,5.0,200,Snow,light snow,10000.0,,,
1735758000,1735786452,1735811589,-7.14,-13.06,1023,88,-8.6,75,4.0,190,Snow,light snow,9000.0,,,
1735761600,1735786452,1735811589,-6.58,-12.37,1022,87,-8.18,75,4.0,190,Snow,light snow,6000.0,,,
1735765200,1735786452,1735811589,-6.39,-12.91,1021,87,-7.99,75,5.0,200,Snow,light shower snow,10000.0,,,
1735768800,1735786452,1735811589,-6.02,-11.68,1020,87,-7.63,75,4.0,190,Snow,light shower snow,9000.0,,,
1735772400,1735786452,1735811589,-6.03,-11.69,1020,87,-7.64,75,4.0,190,Snow,light shower snow,10000.0,,,
1735776000,1735786452,1735811589,-5.84,-11.46,1020,87,-7.45,75,4.0,190,Clouds,broken clouds,10000.0,,,
1735779600,1735786452,1735811589,-6.02,-12.44,1019,88,-7.5,75,5.0,190,Snow,light snow,3600.0,,,
1735783200,1735786452,1735811589,-6.02,-12.44,1018,88,-7.5,75,5.0,190,Snow,light shower snow,9000.0,,,
1735786800,1735786452,1735811589,-5.76,-11.36,1018,89,-7.11,75,4.0,190,Snow,light shower snow,8000.0,,,
1735790400,1735786452,1735811589,-5.76,-12.12,1017,90,-6.98,75,5.0,190,Snow,light shower snow,6000.0,,,
1735794000,1735786452,1735811589,-4.9,-11.67,1016,90,-6.13,75,6.0,200,Snow,light shower snow,7000.0,,,
1735797600,1735786452,1735811589,-4.65,-11.65,1016,86,-6.41,75,7.0,200,Snow,light shower snow,10000.0,,,
1735801200,1735786452,1735811589,-4.72,-11.72,1015,84,-6.75,75,7.0,200,Snow,light shower snow,10000.0,,,
1735804800,1735786452,1735811589,-4.36,-10.98,1014,83,-6.53,20,6.0,190,Clouds,few clouds,10000.0,,,
1735808400,1735786452,1735811589,-4.35,-10.36,1013,84,-6.38,0,5.0,180,Clear,clear sky,10000.0,,,
1735812000,1735786452,1735811589,-4.35,-10.36,1013,84,-6.38,75,5.0,180,Snow,light shower snow,8000.0,,,
1735815600,1735786452,1735811589,-4.06,-9.99,1012,85,-5.96,0,5.0,180,Clear,clear sky,10000.0,,,
1735819200,1735786452,1735811589,-3.5,-9.89,1011,85,-5.41,0,6.0,190,Snow,light snow,10000.0,0.2,,
1735822800,1735786452,1735811589,-3.41,-9.18,1010,90,-4.65,75,5.0,180,Snow,light shower snow,2700.0,0.51,,
1735826400,1735786452,1735811589,-2.85,-8.48,1010,92,-3.84,75,5.0,180,Snow,light shower snow,4800.0,0.39,,
1735830000,1735786452,1735811589,-2.69,-8.28,1009,92,-3.68,75,5.0,200,Snow,light shower snow,8000.0,0.25,,
1735833600,1735786452,1735811589,-2.39,-7.91,1010,93,-3.25,75,5.0,200,Snow,light shower snow,9000.0,0.14,,
1735837200,1735872829,1735898066,-2.68,-9.36,1010,91,-3.8,75,7.0,230,Snow,light shower snow,10000.0,0.12,,
1735840800,1735872829,1735898066,-3.79,-10.79,1011,86,-5.56,75,9.0,250,Snow,light shower snow,7000.0,0.13,,
1735844400,1735872829,1735898066,-4.35,-11.35,1012,85,-6.25,75,9.0,240,Snow,heavy shower snow,900.0,0.14,,
1735848000,1735872829,1735898066,-4.9,-11.9,1013,85,-6.79,75,9.0,240,Snow,light shower snow,7000.0,,,
1735851600,1735872829,1735898066,-5.63,-12.6,1014,84,-7.64,75,6.0,240,Snow,light shower snow,5000.0,,,
1735855200,1735872829,1735898066,-6.57,-13.57,1016,85,-8.44,75,8.0,250,Snow,light shower snow,3400.0,,13.0,
1735858800,1735872829,1735898066,-6.93,-13.93,1017,87,-8.53,75,7.0,240,Snow,light shower snow,4300.0,,,
1735862400,1735872829,1735898066,-7.13,-14.13,1017,83,-9.26,75,7.0,240,Snow,light shower snow,5000.0,,,
1735866000,1735872829,1735898066,-7.13,-14.13,1018,84,-9.12,75,6.0,230,Snow,light shower snow,7000.0,,,
1735869600,1735872829,1735898066,-7.61,-14.61,1019,86,-9.33,75,6.0,220,Snow,light shower snow,3700.0,,,
1735873200,1735872829,1735898066,-7.65,-14.65,1019,86,-9.37,75,7.0,230,Snow,light shower snow,10000.0,,,
1735876800,1735872829,1735898066,-7.56,-14.56,1019,79,-10.24,75,7.0,230,Clouds,broken clouds,10000.0,,,
1735880400,1735872829,1735898066,-7.03,-14.03,1019,79,-9.72,40,7.0,220,Clouds,scattered clouds,10000.0,,,
1735884000,1735872829,1735898066,-7.07,-14.07,1018,79,-9.76,40,8.0,220,Clouds,scattered clouds,10000.0,,,
1735887600,1735872829,1735898066,-7.2,-14.2,1018,79,-9.88,75,7.0,210,Snow,light shower snow,9000.0,,,
1735891200,1735872829,1735898066,-7.14,-14.14,1017,83,-9.27,75,8.0,210,Snow,light shower snow,9000.0,,,
1735894800,1735872829,1735898066,-6.74,-13.74,1016,86,-8.47,75,7.0,200,Snow,light shower snow,5000.0,,,
1735898400,1735872829,1735898066,-6.57,-13.57,1014,90,-7.78,75,6.0,200,Snow,light shower snow,2300.0,0.2,,
1735902000,1735872829,1735898066,-6.37,-12.88,1013,92,-7.33,75,5.0,190,Snow,shower snow,1400.0,0.39,,
1735905600,1735872829,1735898066,-6.02,-13.02,1011,92,-6.98,75,7.0,190,Snow,shower snow,1600.0,0.51,,
1735909200,1735872829,1735898066,-6.02,-13.02,1010,93,-6.86,75,8.0,210,Snow,shower snow,1700.0,0.49,,
1735912800,1735872829,1735898066,-6.03,-13.03,1009,94,-6.75,75,9.0,210,Snow,shower snow,1500.0,0.47,,
1735916400,1735872829,1735898066,-6.02,-13.02,1008,94,-6.74,75,9.0,210,Snow,shower snow,1900.0,0.37,,
1735920000,1735872829,1735898066,-6.02,-13.02,1007,94,-6.74,75,7.0,220,Snow,shower snow,1500.0,0.27,,
1735923600,1735959202,1735984547,-5.46,-12.38,1007,94,-6.18,75,6.0,220,Snow,shower snow,1900.0,0.22,,
1735927200,1735959202,1735984547,-5.46,-12.46,1008,94,-6.18,75,7.0,230,Snow,light shower snow,5000.0,0.21,,
1735930800,1735959202,1735984547,-4.35,-10.97,1009,95,-4.95,75,6.0,240,Snow,light shower snow,7000.0,0.16,,
1735934400,1735959202,1735984547,-4.35,-10.97,1010,95,-4.95,75,6.0,250,Snow,light shower snow,10000.0,0.17,,
1735938000,1735959202,1735984547,-3.8,-10.27,1011,94,-4.53,75,6.0,240,Snow,light shower snow,9000.0,0.19,,
1735941600,1735959202,1735984547,-3.24,-8.97,1011,95,-3.85,75,5.0,250,Snow,light shower snow,9000.0,0.17,,
1735945200,1735959202,1735984547,-2.68,-8.85,1011,95,-3.29,75,6.0,230,Snow,light shower snow,9000.0,0.12,,
1735948800,1735959202,1735984547,-2.13,-8.65,1012,95,-2.74,75,7.0,240,Snow,light shower snow,10000.0,0.11,,
1735952400,1735959202,1735984547,-1.74,-8.15,1012,95,-2.35,75,7.0,240,Snow,light shower snow,9000.0,,,
1735956000,1735959202,1735984547,-1.37,-7.68,1012,95,-1.98,75,7.0,240,Snow,light shower snow,4700.0,,,
1735959600,1735959202,1735984547,-0.73,-6.38,1013,96,-1.22,75,6.0,230,Snow,light shower snow,3900.0,,,
1735963200,1735959202,1735984547,-0.46,-5.49,1013,96,-0.95,75,5.0,220,Snow,light shower snow,2300.0,,,
