dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust,rain.1h
01-01-2025 00:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-12.72,-19.72,1030,89,-14,100,3.87,208,Clouds,overcast clouds,,,,
01-01-2025 01:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-12.45,-19.45,1030,92,-13.37,100,4.0,200,Snow,light snow,10000.0,,,
01-01-2025 02:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-12.38,-19.38,1030,85,-14.16,100,4.0,210,Clouds,overcast clouds,10000.0,,,
01-01-2025 03:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-13.82,-20.1,1030,92,-14.73,100,3.0,200,Snow,light snow,10000.0,,,
01-01-2025 04:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-13.84,-20.84,1029,85,-15.6,100,4.0,210,Snow,light snow,10000.0,,,
01-01-2025 05:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-14.96,-21.47,1029,85,-16.71,100,3.0,210,Clouds,overcast clouds,10000.0,,,
01-01-2025 06:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-14.99,-14.99,1030,85,-16.74,75,1.0,210,Clouds,broken clouds,10000.0,,,
01-01-2025 07:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-15.73,-15.73,1029,85,-17.47,75,1.0,200,Clouds,broken clouds,10000.0,,,
01-01-2025 08:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-15.57,-15.57,1029,85,-17.31,40,1.0,190,Clouds,scattered clouds,10000.0,,,
01-01-2025 09:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-17.04,-17.04,1029,78,-19.66,40,0.0,0,Clouds,scattered clouds,10000.0,,,
01-01-2025 10:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-17.35,-24.18,1029,85,-19.07,21,2.89,174,Clouds,few clouds,,,,
01-01-2025 11:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-17.25,-17.25,1029,85,-18.97,0,1.0,210,Clear,clear sky,10000.0,,,
01-01-2025 12:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-16.53,-16.53,1028,83,-18.51,63,1.0,180,Clouds,broken clouds,9000.0,,,
01-01-2025 13:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-15.05,-22.05,1028,82,-17.18,11,4.0,200,Clouds,few clouds,9000.0,,,
01-01-2025 14:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-13.24,-17.88,1027,84,-15.14,15,2.0,200,Clouds,few clouds,8000.0,,,
01-01-2025 15:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-13.41,-19.61,1027,83,-15.44,19,3.0,200,Clouds,few clouds,8000.0,,,
01-01-2025 16:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-13.2,-17.83,1027,82,-15.36,8,2.0,180,Clear,clear sky,9000.0,,,
01-01-2025 17:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-16.09,-23.04,1027,86,-17.7,9,3.16,171,Clear,clear sky,,,,
01-01-2025 18:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-16.11,-23.06,1027,81,-18.35,33,3.15,169,Clouds,scattered clouds,,,,
01-01-2025 19:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-15.96,-22.77,1026,82,-18.08,78,3.07,168,Clouds,broken clouds,,,,
01-01-2025 20:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-15.7,-22.4,1026,82,-17.82,98,3.03,167,Clouds,overcast clouds,,,,
01-01-2025 21:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-13.74,-20.19,1025,84,-15.63,99,3.14,167,Clouds,overcast clouds,,,,
01-01-2025 22:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-11.65,-17.49,1025,85,-13.44,75,3.0,170,Snow,light snow,10000.0,,,
01-01-2025 23:00:00,01-01-2025 09:54:30,01-01-2025 16:51:55,-11.25,-18.1,1024,85,-13.05,75,4.0,180,Clouds,broken clouds,9000.0,,,
02-01-2025 00:00:00,02-01-2025 09:54:12,02-01-2025 16:53:09,-10.19,-16.8,1024,86,-11.88,75,4.0,190,Snow,light snow,7000.0,,,
02-01-2025 01:00:00,02-01-2025 09:54:12,02-01-2025 16:53:09,-9.06,-16.06,1023,87,-10.63,75,5.0,200,Snow,light snow,10000.0,,,
