dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust,rain.1h
1735664400,1735700070,1735725140,-12.5,-19.5,1030,89,-13.78,100,3.87,208,Clouds,overcast clouds,,,,
1735668000,1735700070,1735725140,-12.26,-19.26,1030,92,-13.18,100,4.0,200,Snow,light snow,10000.0,,,
1735671600,1735700070,1735725140,-12.33,-19.33,1030,85,-14.12,100,4.0,210,Clouds,overcast clouds,10000.0,,,
1735675200,1735700070,1735725140,-14.0,-20.17,1030,89,-15.27,85,2.89,197,Clouds,overcast clouds,,,,
1735678800,1735700070,1735725140,-14.02,-20.01,1029,88,-15.41,84,2.76,191,Clouds,broken clouds,,,,
1735682400,1735700070,1735725140,-14.97,-21.56,1029,86,-16.59,92,3.06,192,Clouds,overcast clouds,,,,
1735686000,1735700070,1735725140,-15.31,-15.31,1030,85,-17.05,75,1.0,210,Clouds,broken clouds,10000.0,,,
1735689600,1735700070,1735725140,-16.08,-16.08,1029,85,-17.81,75,1.0,200,Clouds,broken clouds,10000.0,,,
1735693200,1735700070,1735725140,-15.97,-15.97,1029,85,-17.71,40,1.0,190,Clouds,scattered clouds,10000.0,,,
1735696800,1735700070,1735725140,-17.53,-17.53,1029,78,-20.14,40,0.0,0,Clouds,scattered clouds,10000.0,,,
1735700400,1735700070,1735725140,-17.99,-17.99,1029,77,-20.73,40,0.0,0,Clouds,scattered clouds,10000.0,,,
1735704000,1735700070,1735725140,-17.74,-17.74,1029,85,-19.45,0,1.0,210,Clear,clear sky,10000.0,,,
1735707600,1735700070,1735725140,-15.77,-15.77,1028,84,-17.63,63,1.0,180,Clouds,broken clouds,9000.0,,,
1735711200,1735700070,1735725140,-14.43,-21.43,1028,83,-16.44,11,4.0,200,Clouds,few clouds,9000.0,,,
1735714800,1735700070,1735725140,-12.92,-18.94,1027,85,-14.7,15,2.94,174,Clouds,few clouds,,,,
1735718400,1735700070,1735725140,-13.01,-19.13,1027,84,-14.91,19,3.0,200,Clouds,few clouds,8000.0,,,
1735722000,1735700070,1735725140,-12.66,-17.2,1027,83,-14.7,8,2.0,180,Clear,clear sky,9000.0,,,
1735725600,1735700070,1735725140,-13.57,-19.8,1027,85,-15.34,9,3.0,210,Clear,clear sky,10000.0,,,
1735729200,1735700070,1735725140,-15.54,-15.54,1027,82,-17.66,40,1.0,0,Clouds,scattered clouds,10000.0,,,
1735732800,1735700070,1735725140,-15.05,-21.67,1026,82,-17.18,78,3.07,168,Clouds,broken clouds,,,,
1735736400,1735700070,1735725140,-11.57,-17.4,1026,85,-13.37,40,3.0,160,Clouds,scattered clouds,9000.0,,,
1735740000,1735700070,1735725140,-13.38,-19.75,1025,84,-15.28,99,3.14,167,Clouds,overcast clouds,,,,
1735743600,1735700070,1735725140,-10.6,-16.23,1025,86,-12.28,75,3.0,170,Snow,light snow,10000.0,,,
1735747200,1735700070,1735725140,-10.9,-17.16,1024,85,-12.71,100,3.49,163,Clouds,overcast clouds,,,,
1735750800,1735786451,1735811613,-9.29,-15.31,1024,86,-10.99,100,3.6,161,Clouds,overcast clouds,,,,
1735754400,1735786451,1735811613,-8.17,-14.06,1023,87,-9.75,100,3.72,162,Clouds,overcast clouds,,,,
1735758000,1735786451,1735811613,-6.81,-12.65,1023,87,-8.41,75,4.0,190,Snow,light snow,9000.0,,,
1735761600,1735786451,1735811613,-6.25,-11.96,1022,87,-7.85,75,4.0,190,Snow,light snow,6000.0,,,
1735765200,1735786451,1735811613,-6.14,-12.6,1021,87,-7.75,75,5.0,200,Snow,light shower snow,10000.0,,,
1735768800,1735786451,1735811613,-5.7,-11.29,1020,87,-7.31,75,4.0,190,Snow,light shower snow,9000.0,,,
1735772400,1735786451,1735811613,-5.71,-11.3,1020,87,-7.32,75,4.0,190,Snow,light shower snow,10000.0,,,
