dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust
1738342800,1738376236,1738406970,-20.2,-20.2,1031,77,-22.89,40,0,0,Snow,light snow,8000.0,,
1738346400,1738376236,1738406970,-19.32,-19.32,1031,80,-21.64,40,0,0,Snow,light snow,9000.0,,
1738350000,1738376236,1738406970,-19.49,-19.49,1031,79,-21.93,40,0,0,Snow,light snow,9000.0,,
1738353600,1738376236,1738406970,-21.1,-21.1,1032,84,-22.89,40,0,0,Snow,light snow,10000.0,,
1738357200,1738376236,1738406970,-20.73,-20.73,1032,77,-23.41,40,0,0,Snow,light snow,8000.0,,
1738360800,1738376236,1738406970,-19.29,-24.93,1032,81,-21.48,40,2,210,Snow,light snow,6000.0,,
1738364400,1738376236,1738406970,-19.29,-24.93,1032,80,-21.61,40,2,230,Snow,light snow,9000.0,,
1738368000,1738376236,1738406970,-19.32,-26.32,1033,81,-21.51,75,3,230,Snow,light snow,5000.0,,
1738371600,1738376236,1738406970,-19.32,-24.96,1033,81,-21.51,40,2,230,Snow,light shower snow,9000.0,,
1738375200,1738376236,1738406970,-18.5,-25.5,1034,82,-20.58,40,3,230,Snow,light shower snow,9000.0,,
1738378800,1738376236,1738406970,-18.24,-25.24,1034,82,-20.32,40,4,230,Snow,light shower snow,10000.0,,
1738382400,1738376236,1738406970,-17.43,-24.43,1034,80,-19.78,40,5,240,Snow,light shower snow,10000.0,,
1738386000,1738376236,1738406970,-16.97,-23.97,1034,78,-19.59,75,4,250,Snow,light shower snow,2700.0,,
1738389600,1738376236,1738406970,-17.2,-24.2,1035,81,-19.42,75,4,230,Snow,light shower snow,10000.0,,
1738393200,1738376236,1738406970,-16.64,-23.64,1035,81,-18.87,40,5,220,Snow,light shower snow,10000.0,,
1738396800,1738376236,1738406970,-16.09,-23.09,1035,81,-18.33,40,5,220,Snow,light snow,10000.0,,
1738400400,1738376236,1738406970,-14.94,-21.94,1035,77,-17.74,75,5,230,Snow,light shower snow,10000.0,,
1738404000,1738376236,1738406970,-15.24,-22.24,1035,78,-17.9,75,4,220,Snow,light shower snow,9000.0,,
