dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust
01-02-2025 00:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-19.54,-19.54,1031,77,-22.24,40,0,0,Snow,light snow,8000.0,,
01-02-2025 01:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-18.74,-18.74,1031,80,-21.07,40,0,0,Snow,light snow,9000.0,,
01-02-2025 02:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-18.83,-18.83,1031,80,-21.15,40,0,0,Snow,light snow,9000.0,,
01-02-2025 03:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-20.19,-20.19,1032,84,-21.99,40,0,0,Snow,light snow,10000.0,,
01-02-2025 04:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-19.87,-19.87,1032,77,-22.57,40,0,0,Snow,light snow,8000.0,,
01-02-2025 05:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-18.37,-23.85,1032,82,-20.45,40,2,210,Snow,light snow,6000.0,,
01-02-2025 06:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-20.03,-25.79,1032,78,-22.59,40,2,230,Snow,light snow,9000.0,,
01-02-2025 07:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-18.73,-25.73,1033,82,-20.8,75,3,230,Snow,light snow,5000.0,,
01-02-2025 08:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-18.73,-24.27,1033,82,-20.8,40,2,230,Snow,light shower snow,9000.0,,
01-02-2025 09:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-18.06,-25.06,1034,82,-20.14,40,3,230,Snow,light shower snow,9000.0,,
01-02-2025 10:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-17.92,-24.92,1034,82,-20.0,40,4,230,Snow,light shower snow,10000.0,,
01-02-2025 11:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-17.24,-24.24,1034,80,-19.59,40,5,240,Snow,light shower snow,10000.0,,
01-02-2025 12:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-17.26,-24.26,1034,80,-19.61,75,4,250,Snow,light shower snow,2700.0,,
01-02-2025 13:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-16.84,-23.84,1035,80,-19.2,75,4,230,Snow,light shower snow,10000.0,,
01-02-2025 14:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-16.29,-23.29,1035,80,-18.66,40,5,220,Snow,light shower snow,10000.0,,
01-02-2025 15:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-15.73,-22.73,1035,80,-18.11,40,5,220,Snow,light snow,10000.0,,
01-02-2025 16:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-14.9,-21.9,1035,78,-17.57,75,5,230,Snow,light shower snow,10000.0,,
01-02-2025 17:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-15.74,-22.74,1035,81,-17.99,75,4,220,Snow,light shower snow,9000.0,,
01-02-2025 18:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-15.84,-22.27,1036,79,-18.35,97,2.82,194,Clouds,overcast clouds,,,
01-02-2025 19:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-16.7,-23.56,1036,80,-19.06,0,3,200,Clear,clear sky,10000.0,,
01-02-2025 20:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-17.25,-24.25,1037,80,-19.6,20,4,210,Clouds,few clouds,10000.0,,
01-02-2025 21:00:00,01-02-2025 09:17:20,01-02-2025 17:49:50,-17.97,-24.97,1037,82,-20.05,0,3,210,Clear,clear sky,10000.0,,
