dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust
01-02-2025 00:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-20.2,-20.2,1031,77,-22.89,40,0,0,Snow,light snow,8000.0,,
01-02-2025 01:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-19.32,-19.32,1031,80,-21.64,40,0,0,Snow,light snow,9000.0,,
01-02-2025 02:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-19.49,-19.49,1031,79,-21.93,40,0,0,Snow,light snow,9000.0,,
01-02-2025 03:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-21.1,-21.1,1032,84,-22.89,40,0,0,Snow,light snow,10000.0,,
01-02-2025 04:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-20.73,-20.73,1032,77,-23.41,40,0,0,Snow,light snow,8000.0,,
01-02-2025 05:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-19.29,-24.93,1032,81,-21.48,40,2,210,Snow,light snow,6000.0,,
01-02-2025 06:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-19.29,-24.93,1032,80,-21.61,40,2,230,Snow,light snow,9000.0,,
01-02-2025 07:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-19.32,-26.32,1033,81,-21.51,75,3,230,Snow,light snow,5000.0,,
01-02-2025 08:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-19.32,-24.96,1033,81,-21.51,40,2,230,Snow,light shower snow,9000.0,,
01-02-2025 09:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-18.5,-25.5,1034,82,-20.58,40,3,230,Snow,light shower snow,9000.0,,
01-02-2025 10:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-18.24,-25.24,1034,82,-20.32,40,4,230,Snow,light shower snow,10000.0,,
01-02-2025 11:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-17.43,-24.43,1034,80,-19.78,40,5,240,Snow,light shower snow,10000.0,,
01-02-2025 12:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-16.97,-23.97,1034,78,-19.59,75,4,250,Snow,light shower snow,2700.0,,
01-02-2025 13:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-17.2,-24.2,1035,81,-19.42,75,4,230,Snow,light shower snow,10000.0,,
01-02-2025 14:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-16.64,-23.64,1035,81,-18.87,40,5,220,Snow,light shower snow,10000.0,,
01-02-2025 15:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-16.09,-23.09,1035,81,-18.33,40,5,220,Snow,light snow,10000.0,,
01-02-2025 16:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-14.94,-21.94,1035,77,-17.74,75,5,230,Snow,light shower snow,10000.0,,
01-02-2025 17:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-15.24,-22.24,1035,78,-17.9,75,4,220,Snow,light shower snow,9000.0,,
01-02-2025 18:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-16.39,-22.93,1036,80,-18.76,97,2.82,194,Clouds,overcast clouds,,,
01-02-2025 19:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-16.87,-23.76,1036,80,-19.23,0,3,200,Clear,clear sky,10000.0,,
01-02-2025 20:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-17.43,-24.43,1037,80,-19.78,20,4,210,Clouds,few clouds,10000.0,,
01-02-2025 21:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-17.72,-24.72,1037,80,-20.07,0,3,210,Clear,clear sky,10000.0,,
01-02-2025 22:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-18.17,-25.17,1037,80,-20.51,100,3.14,197,Clouds,overcast clouds,,,
01-02-2025 23:00:00,01-02-2025 09:17:16,01-02-2025 17:49:30,-18.27,-25.27,1037,81,-20.48,20,3,210,Snow,light snow,10000.0,,
02-02-2025 00:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-18.27,-25.27,1037,80,-20.61,20,3,200,Snow,light snow,10000.0,,
02-02-2025 01:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-17.98,-24.98,1037,80,-20.32,0,3,200,Clear,clear sky,10000.0,,
02-02-2025 02:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-17.98,-24.98,1036,79,-20.45,0,3,180,Clear,clear sky,10000.0,,
02-02-2025 03:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-17.98,-23.4,1036,79,-20.45,0,2,190,Clear,clear sky,10000.0,,
02-02-2025 04:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-17.98,-24.98,1036,79,-20.45,0,3,190,Clear,clear sky,10000.0,,
02-02-2025 05:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-17.98,-23.4,1035,79,-20.45,0,2,180,Clear,clear sky,10000.0,,
02-02-2025 06:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-18.5,-18.5,1036,79,-20.96,0,1,0,Clear,clear sky,10000.0,,
02-02-2025 07:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-19.12,-24.73,1036,79,-21.57,0,2,150,Clear,clear sky,10000.0,,
02-02-2025 08:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-19.03,-26.03,1035,80,-21.35,0,3,150,Clear,clear sky,10000.0,,
02-02-2025 09:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-19.81,-26.81,1035,80,-22.12,0,3,140,Clear,clear sky,10000.0,,
02-02-2025 10:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-19.06,-24.66,1036,80,-21.38,0,2,140,Clear,clear sky,10000.0,,
02-02-2025 11:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-18.24,-25.24,1036,79,-20.71,20,3,140,Clouds,few clouds,10000.0,,
02-02-2025 12:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-16.35,-21.5,1036,79,-18.85,75,2,170,Snow,light snow,8000.0,,
02-02-2025 13:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-14.42,-19.25,1036,75,-17.51,40,2,180,Clouds,scattered clouds,10000.0,,
02-02-2025 14:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-13.01,-17.61,1036,72,-16.58,40,2,190,Clouds,scattered clouds,10000.0,,
02-02-2025 15:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-12.43,-16.93,1036,72,-16.01,40,2,190,Clouds,scattered clouds,10000.0,,
02-02-2025 16:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-11.95,-16.38,1036,72,-15.54,40,2,190,Clouds,scattered clouds,10000.0,,
02-02-2025 17:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-11.84,-11.84,1036,73,-15.29,0,1,170,Clear,clear sky,10000.0,,
02-02-2025 18:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-12.39,-12.39,1037,75,-15.53,0,1,0,Clear,clear sky,10000.0,,
02-02-2025 19:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-12.66,-18.71,1037,77,-15.51,0,3,100,Clear,clear sky,10000.0,,
02-02-2025 20:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-13.77,-18.5,1037,79,-16.32,0,2,120,Clear,clear sky,10000.0,,
02-02-2025 21:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-14.7,-19.58,1038,80,-17.1,0,2,120,Clear,clear sky,10000.0,,
02-02-2025 22:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-14.42,-19.27,1038,82,-16.56,91,2.01,127,Clouds,overcast clouds,,,
02-02-2025 23:00:00,02-02-2025 09:15:19,02-02-2025 17:51:45,-15.14,-15.14,1038,83,-17.14,88,1,120,Clouds,overcast clouds,9000.0,,
03-02-2025 00:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.41,-17.41,1038,85,-19.13,83,1,100,Clouds,broken clouds,9000.0,,
03-02-2025 01:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.21,-17.21,1039,82,-19.31,0,1,70,Clear,clear sky,10000.0,,
03-02-2025 02:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.08,-17.08,1039,82,-19.18,85,0,0,Clouds,overcast clouds,9000.0,,
03-02-2025 03:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.14,-21.55,1039,81,-19.37,86,1.6,123,Clouds,overcast clouds,,,
03-02-2025 04:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-16.87,-16.87,1039,80,-19.23,20,1,100,Clouds,few clouds,9000.0,,
03-02-2025 05:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.71,-17.71,1039,81,-19.93,20,1,60,Clouds,few clouds,10000.0,,
03-02-2025 06:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.42,-17.42,1040,84,-19.26,40,1,100,Clouds,scattered clouds,9000.0,,
03-02-2025 07:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.57,-17.57,1040,81,-19.79,0,0,0,Clear,clear sky,10000.0,,
03-02-2025 08:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-18.76,-18.76,1041,79,-21.22,40,1,100,Clouds,scattered clouds,10000.0,,
03-02-2025 09:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-18.21,-18.21,1041,80,-20.55,0,0,0,Clear,clear sky,10000.0,,
03-02-2025 10:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-17.09,-17.09,1042,78,-19.71,0,1,60,Clear,clear sky,10000.0,,
03-02-2025 11:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-16.97,-16.97,1042,80,-19.33,98,0,0,Clouds,overcast clouds,9000.0,,
03-02-2025 12:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-13.83,-13.83,1042,78,-16.52,96,1,60,Clouds,overcast clouds,9000.0,,
03-02-2025 13:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-11.08,-11.08,1043,75,-14.25,0,0,0,Clear,clear sky,10000.0,,
03-02-2025 14:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-9.94,-9.94,1043,76,-13.0,0,1,250,Clear,clear sky,10000.0,,
03-02-2025 15:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-8.57,-8.57,1043,73,-12.1,0,1,200,Clear,clear sky,10000.0,,
03-02-2025 16:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-7.72,-7.72,1043,73,-11.28,0,1,200,Clear,clear sky,10000.0,,
03-02-2025 17:00:00,03-02-2025 09:13:20,03-02-2025 17:53:59,-7.72,-7.72,1044,74,-11.13,20,0,0,Clouds,few clouds,10000.0,,
