dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,rain.1h,wind_gust,snow.1h
1730394000,1730424524,1730457507,-1.57,-1.57,1029,100,-1.57,75,0,0,Clouds,broken clouds,10000.0,,,
1730397600,1730424524,1730457507,-1.57,-1.57,1029,86,-3.37,75,1,120,Clouds,broken clouds,10000.0,,,
1730401200,1730424524,1730457507,-1.57,-1.57,1029,93,-2.44,75,0,0,Clouds,broken clouds,10000.0,,,
1730404800,1730424524,1730457507,-2.13,-2.13,1029,95,-2.74,75,0,0,Clouds,broken clouds,10000.0,,,
1730408400,1730424524,1730457507,-1.57,-1.57,1029,86,-3.37,75,1,0,Clouds,broken clouds,10000.0,,,
1730412000,1730424524,1730457507,-2.57,-2.57,1030,93,-3.43,75,1,50,Clouds,broken clouds,10000.0,,,
1730415600,1730424524,1730457507,-2.57,-2.57,1030,93,-3.43,75,1,100,Clouds,broken clouds,10000.0,,,
1730419200,1730424524,1730457507,-3.27,-3.27,1030,90,-4.51,83,1.24,66,Clouds,broken clouds,,,,
1730422800,1730424524,1730457507,-2.94,-5.88,1030,80,-5.56,75,2,100,Clouds,broken clouds,10000.0,,,
1730426400,1730424524,1730457507,-2.58,-5.46,1030,86,-4.36,75,2,120,Clouds,broken clouds,10000.0,,,
1730430000,1730424524,1730457507,-1.57,-5.39,1030,86,-3.37,75,3,120,Clouds,broken clouds,10000.0,,,
1730433600,1730424524,1730457507,-1.5,-6.13,1030,85,-3.44,75,4,110,Clouds,broken clouds,10000.0,,,
1730437200,1730424524,1730457507,-0.91,-4.59,1030,82,-3.28,75,3,130,Clouds,broken clouds,10000.0,,,
1730440800,1730424524,1730457507,-1.5,-4.2,1030,78,-4.45,75,2,130,Clouds,broken clouds,10000.0,,,
1730444400,1730424524,1730457507,-1.5,-5.3,1030,77,-4.6,75,3,110,Clouds,broken clouds,10000.0,,,
1730448000,1730424524,1730457507,-1.4,-5.18,1030,78,-4.35,100,3,110,Clouds,overcast clouds,10000.0,,,
1730451600,1730424524,1730457507,-1.56,-5.37,1030,77,-4.66,100,3,100,Clouds,overcast clouds,10000.0,,,
1730455200,1730424524,1730457507,-1.7,-4.44,1030,79,-4.5,100,2,120,Clouds,overcast clouds,10000.0,,,
1730458800,1730424524,1730457507,-2.57,-6.59,1030,80,-5.2,100,3,100,Clouds,overcast clouds,10000.0,,,
1730462400,1730424524,1730457507,-2.57,-6.59,1031,80,-5.2,100,3,100,Clouds,overcast clouds,10000.0,,,
1730466000,1730424524,1730457507,-2.57,-6.59,1031,80,-5.2,100,3,110,Clouds,overcast clouds,10000.0,,,
1730469600,1730424524,1730457507,-2.57,-7.44,1031,80,-5.2,100,4,120,Clouds,overcast clouds,10000.0,,,
1730473200,1730424524,1730457507,-3.57,-8.67,1031,86,-5.34,100,4,120,Clouds,overcast clouds,10000.0,,,
1730476800,1730424524,1730457507,-3.57,-8.67,1031,80,-6.18,100,4,140,Clouds,overcast clouds,10000.0,,,
1730480400,1730511056,1730543775,-3.57,-8.67,1031,86,-5.34,100,4,140,Clouds,overcast clouds,10000.0,,,
1730484000,1730511056,1730543775,-4.57,-7.78,1030,86,-6.33,20,2,110,Clouds,few clouds,10000.0,,,
1730487600,1730511056,1730543775,-5.57,-8.94,1030,93,-6.41,20,2,110,Clouds,few clouds,10000.0,,,
1730491200,1730511056,1730543775,-6.57,-11.39,1030,93,-7.41,0,3,100,Clear,clear sky,10000.0,,,
1730494800,1730511056,1730543775,-5.58,-10.2,1029,87,-7.19,0,3,120,Clear,clear sky,10000.0,,,
1730498400,1730511056,1730543775,-6.13,-10.86,1029,87,-7.74,0,3,120,Clear,clear sky,10000.0,,,
1730502000,1730511056,1730543775,-6.13,-10.86,1029,87,-7.74,0,3,120,Clear,clear sky,10000.0,,,
1730505600,1730511056,1730543775,-6.69,-11.54,1029,89,-8.03,0,3,120,Clear,clear sky,10000.0,,,
1730509200,1730511056,1730543775,-6.83,-10.41,1029,89,-8.17,0,2,120,Clear,clear sky,10000.0,,,
1730512800,1730511056,1730543775,-7.25,-7.25,1028,89,-8.58,0,1,110,Clear,clear sky,10000.0,,,
1730516400,1730511056,1730543775,-6.29,-9.78,1028,87,-7.89,0,2,130,Clear,clear sky,10000.0,,,
1730520000,1730511056,1730543775,-5.17,-8.48,1027,83,-7.33,0,2,130,Clear,clear sky,10000.0,,,
1730523600,1730511056,1730543775,-4.06,-8.38,1027,84,-6.1,0,3,150,Clear,clear sky,10000.0,,,
1730527200,1730511056,1730543775,-2.39,-6.37,1026,81,-4.88,0,3,140,Clear,clear sky,10000.0,,,
1730530800,1730511056,1730543775,-1.29,-5.87,1025,81,-3.8,40,4,150,Clouds,scattered clouds,10000.0,,,
1730534400,1730511056,1730543775,-0.74,-5.19,1025,82,-3.12,40,4,140,Clouds,scattered clouds,10000.0,,,
1730538000,1730511056,1730543775,-0.73,-5.18,1024,83,-2.96,40,4,140,Clouds,scattered clouds,10000.0,,,
1730541600,1730511056,1730543775,-1.27,-5.03,1024,87,-2.93,75,3,130,Clouds,broken clouds,10000.0,,,
1730545200,1730511056,1730543775,-1.27,-5.03,1023,89,-2.66,75,3,140,Clouds,broken clouds,10000.0,,,
1730548800,1730511056,1730543775,-1.27,-5.03,1023,90,-2.53,75,3,140,Clouds,broken clouds,10000.0,,,
1730552400,1730511056,1730543775,-0.72,-4.37,1022,90,-1.99,75,3,170,Clouds,broken clouds,10000.0,,,
1730556000,1730511056,1730543775,-0.72,-5.17,1022,91,-1.85,75,4,160,Clouds,broken clouds,9000.0,,,
1730559600,1730511056,1730543775,-0.72,-4.37,1021,93,-1.59,75,3,150,Clouds,broken clouds,7000.0,,,
1730563200,1730511056,1730543775,-0.72,-3.29,1021,93,-1.59,20,2,140,Clouds,few clouds,6000.0,,,
1730566800,1730597587,1730630045,0.4,-3.02,1020,93,-0.53,98,3,170,Clouds,overcast clouds,8000.0,,,
1730570400,1730597587,1730630045,0.83,-3.26,1020,90,-0.55,0,4,180,Clear,clear sky,10000.0,,,
1730574000,1730597587,1730630045,1.27,-2.72,1019,89,-0.3,0,4,170,Clear,clear sky,10000.0,,,
1730577600,1730597587,1730630045,1.81,-2.65,1019,88,0.04,0,5,180,Rain,moderate rain,10000.0,2.03,,
1730581200,1730597587,1730630045,1.93,-1.91,1018,89,0.31,20,4,170,Rain,heavy intensity rain,9000.0,5.08,,
1730584800,1730597587,1730630045,1.81,-2.06,1019,91,0.5,75,4,160,Rain,moderate rain,10000.0,3.05,,
1730588400,1730597587,1730630045,1.55,-2.98,1018,92,0.39,75,5,170,Clouds,broken clouds,10000.0,,,
1730592000,1730597587,1730630045,2.37,-1.95,1017,91,1.05,40,5,170,Rain,moderate rain,10000.0,1.02,,
1730595600,1730597587,1730630045,2.37,-1.95,1017,91,1.05,75,5,180,Clouds,broken clouds,10000.0,,,
1730599200,1730597587,1730630045,2.08,-1.73,1017,94,1.22,75,4,170,Clouds,broken clouds,10000.0,,,
1730602800,1730597587,1730630045,2.5,-1.79,1017,92,1.33,75,5,190,Clouds,broken clouds,10000.0,,,
1730606400,1730597587,1730630045,3.04,-1.11,1017,92,1.87,75,5,190,Rain,moderate rain,10000.0,1.02,,
1730610000,1730597587,1730630045,3.16,-0.4,1016,93,2.14,75,4,190,Clouds,broken clouds,10000.0,,,
1730613600,1730597587,1730630045,3.6,-0.41,1016,92,2.42,75,5,200,Clouds,broken clouds,10000.0,,,
1730617200,1730597587,1730630045,3.73,0.3,1016,91,2.4,75,4,200,Clouds,broken clouds,10000.0,,,
1730620800,1730597587,1730630045,4.27,0.96,1016,89,2.62,75,4,190,Clouds,broken clouds,10000.0,,,
1730624400,1730597587,1730630045,4.83,1.12,1016,88,3.01,75,5,180,Clouds,broken clouds,10000.0,,,
1730628000,1730597587,1730630045,4.71,1.5,1016,88,2.9,75,4,190,Clouds,broken clouds,10000.0,,,
1730631600,1730597587,1730630045,4.71,0.53,1015,87,2.73,75,6,190,Clouds,broken clouds,10000.0,,,
