dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,rain.1h,wind_gust,snow.1h
1730394000,1730424519,1730457489,-1.77,-1.77,1029,100,-1.77,75,0,0,Clouds,broken clouds,10000.0,,,
1730397600,1730424519,1730457489,-1.66,-1.66,1029,86,-3.46,75,1,120,Clouds,broken clouds,10000.0,,,
1730401200,1730424519,1730457489,-1.54,-1.54,1029,93,-2.41,75,0,0,Clouds,broken clouds,10000.0,,,
1730404800,1730424519,1730457489,-2.1,-2.1,1029,93,-2.96,75,0,0,Clouds,broken clouds,10000.0,,,
1730408400,1730424519,1730457489,-2.19,-2.19,1029,86,-3.98,75,1,0,Clouds,broken clouds,10000.0,,,
1730412000,1730424519,1730457489,-2.96,-2.96,1030,93,-3.82,75,1,50,Clouds,broken clouds,10000.0,,,
1730415600,1730424519,1730457489,-3.28,-3.28,1030,93,-4.14,75,1,100,Clouds,broken clouds,10000.0,,,
1730419200,1730424519,1730457489,-3.82,-3.82,1030,90,-5.06,83,1.24,66,Clouds,broken clouds,,,,
1730422800,1730424519,1730457489,-3.55,-6.59,1030,80,-6.16,75,2,100,Clouds,broken clouds,10000.0,,,
1730426400,1730424519,1730457489,-3.87,-6.96,1030,86,-5.64,75,2,120,Clouds,broken clouds,10000.0,,,
1730430000,1730424519,1730457489,-2.73,-6.78,1030,86,-4.51,75,3,120,Clouds,broken clouds,10000.0,,,
1730433600,1730424519,1730457489,-1.6,-6.25,1030,87,-3.26,75,4,110,Clouds,broken clouds,10000.0,,,
1730437200,1730424519,1730457489,-1.25,-5.0,1030,83,-3.47,75,3,130,Clouds,broken clouds,10000.0,,,
1730440800,1730424519,1730457489,-1.6,-4.32,1030,80,-4.25,75,2,130,Clouds,broken clouds,10000.0,,,
1730444400,1730424519,1730457489,-1.6,-5.42,1030,78,-4.55,75,3,110,Clouds,broken clouds,10000.0,,,
1730448000,1730424519,1730457489,-1.44,-5.23,1030,79,-4.24,100,3,110,Clouds,overcast clouds,10000.0,,,
1730451600,1730424519,1730457489,-1.61,-5.43,1030,77,-4.71,100,3,100,Clouds,overcast clouds,10000.0,,,
1730455200,1730424519,1730457489,-1.95,-4.73,1030,79,-4.74,100,2,120,Clouds,overcast clouds,10000.0,,,
1730458800,1730424519,1730457489,-1.99,-5.89,1030,80,-4.63,100,3,100,Clouds,overcast clouds,10000.0,,,
1730462400,1730424519,1730457489,-1.95,-5.84,1031,80,-4.59,100,3,100,Clouds,overcast clouds,10000.0,,,
1730466000,1730424519,1730457489,-1.86,-5.73,1031,80,-4.51,100,3,110,Clouds,overcast clouds,10000.0,,,
1730469600,1730424519,1730457489,-2.45,-7.29,1031,80,-5.08,100,4,120,Clouds,overcast clouds,10000.0,,,
1730473200,1730424519,1730457489,-2.34,-4.93,1031,72,-6.2,46,1.82,117,Clouds,scattered clouds,,,,
1730476800,1730424519,1730457489,-2.55,-5.29,1031,74,-6.09,14,1.9,112,Clouds,few clouds,,,,
1730480400,1730511050,1730543757,-3.79,-8.94,1031,86,-5.56,100,4,140,Clouds,overcast clouds,10000.0,,,
1730484000,1730511050,1730543757,-4.19,-7.34,1030,86,-5.95,20,2,110,Clouds,few clouds,10000.0,,,
1730487600,1730511050,1730543757,-4.41,-7.73,1030,83,-6.58,1,2.1,114,Clear,clear sky,,,,
1730491200,1730511050,1730543757,-5.35,-8.9,1030,86,-7.1,2,2.15,114,Clear,clear sky,,,,
1730494800,1730511050,1730543757,-5.76,-10.42,1029,87,-7.37,0,3,120,Clear,clear sky,10000.0,,,
1730498400,1730511050,1730543757,-6.32,-11.09,1029,87,-7.92,0,3,120,Clear,clear sky,10000.0,,,
1730502000,1730511050,1730543757,-6.32,-11.09,1029,87,-7.92,0,3,120,Clear,clear sky,10000.0,,,
1730505600,1730511050,1730543757,-6.87,-11.75,1029,88,-8.34,0,3,120,Clear,clear sky,10000.0,,,
1730509200,1730511050,1730543757,-7.13,-10.76,1029,89,-8.46,0,2,120,Clear,clear sky,10000.0,,,
1730512800,1730511050,1730543757,-7.43,-7.43,1028,89,-8.76,0,1,110,Clear,clear sky,10000.0,,,
1730516400,1730511050,1730543757,-5.52,-8.89,1028,87,-7.13,0,2,130,Clear,clear sky,10000.0,,,
1730520000,1730511050,1730543757,-4.52,-7.72,1027,80,-7.11,0,2,130,Clear,clear sky,10000.0,,,
1730523600,1730511050,1730543757,-4.42,-8.81,1027,84,-6.45,0,3,150,Clear,clear sky,10000.0,,,
1730527200,1730511050,1730543757,-2.75,-6.8,1026,81,-5.23,0,3,140,Clear,clear sky,10000.0,,,
1730530800,1730511050,1730543757,-1.64,-6.3,1025,81,-4.14,40,4,150,Clouds,scattered clouds,10000.0,,,
1730534400,1730511050,1730543757,-0.57,-4.98,1025,80,-3.24,40,4,140,Clouds,scattered clouds,10000.0,,,
1730538000,1730511050,1730543757,-1.06,-5.59,1024,83,-3.29,40,4,140,Clouds,scattered clouds,10000.0,,,
1730541600,1730511050,1730543757,-1.61,-5.43,1024,86,-3.41,75,3,130,Clouds,broken clouds,10000.0,,,
1730545200,1730511050,1730543757,-1.61,-5.43,1023,88,-3.14,75,3,140,Clouds,broken clouds,10000.0,,,
1730548800,1730511050,1730543757,-1.61,-5.43,1023,89,-3.0,75,3,140,Clouds,broken clouds,10000.0,,,
1730552400,1730511050,1730543757,-1.06,-4.77,1022,90,-2.32,75,3,170,Clouds,broken clouds,10000.0,,,
1730556000,1730511050,1730543757,-1.06,-5.59,1022,91,-2.19,75,4,160,Clouds,broken clouds,9000.0,,,
1730559600,1730511050,1730543757,-1.06,-4.77,1021,92,-2.06,75,3,150,Clouds,broken clouds,7000.0,,,
1730563200,1730511050,1730543757,-1.06,-3.69,1021,93,-1.93,20,2,140,Clouds,few clouds,6000.0,,,
1730566800,1730597582,1730630026,0.06,-3.43,1020,93,-0.82,98,3,170,Clouds,overcast clouds,8000.0,,,
