dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,rain.1h,wind_gust,snow.1h
01-11-2024 00:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.57,-1.57,1029,100,-1.57,75,0,0,Clouds,broken clouds,10000.0,,,
01-11-2024 01:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.57,-1.57,1029,86,-3.37,75,1,120,Clouds,broken clouds,10000.0,,,
01-11-2024 02:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.57,-1.57,1029,93,-2.44,75,0,0,Clouds,broken clouds,10000.0,,,
01-11-2024 03:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.13,-2.13,1029,95,-2.74,75,0,0,Clouds,broken clouds,10000.0,,,
01-11-2024 04:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.57,-1.57,1029,86,-3.37,75,1,0,Clouds,broken clouds,10000.0,,,
01-11-2024 05:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.57,-2.57,1030,93,-3.43,75,1,50,Clouds,broken clouds,10000.0,,,
01-11-2024 06:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.57,-2.57,1030,93,-3.43,75,1,100,Clouds,broken clouds,10000.0,,,
01-11-2024 07:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-3.27,-3.27,1030,90,-4.51,83,1.24,66,Clouds,broken clouds,,,,
01-11-2024 08:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.94,-5.88,1030,80,-5.56,75,2,100,Clouds,broken clouds,10000.0,,,
01-11-2024 09:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.58,-5.46,1030,86,-4.36,75,2,120,Clouds,broken clouds,10000.0,,,
01-11-2024 10:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.57,-5.39,1030,86,-3.37,75,3,120,Clouds,broken clouds,10000.0,,,
01-11-2024 11:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.5,-6.13,1030,85,-3.44,75,4,110,Clouds,broken clouds,10000.0,,,
01-11-2024 12:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-0.91,-4.59,1030,82,-3.28,75,3,130,Clouds,broken clouds,10000.0,,,
01-11-2024 13:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.5,-4.2,1030,78,-4.45,75,2,130,Clouds,broken clouds,10000.0,,,
01-11-2024 14:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.5,-5.3,1030,77,-4.6,75,3,110,Clouds,broken clouds,10000.0,,,
01-11-2024 15:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.4,-5.18,1030,78,-4.35,100,3,110,Clouds,overcast clouds,10000.0,,,
01-11-2024 16:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.56,-5.37,1030,77,-4.66,100,3,100,Clouds,overcast clouds,10000.0,,,
01-11-2024 17:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-1.7,-4.44,1030,79,-4.5,100,2,120,Clouds,overcast clouds,10000.0,,,
01-11-2024 18:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.57,-6.59,1030,80,-5.2,100,3,100,Clouds,overcast clouds,10000.0,,,
01-11-2024 19:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.57,-6.59,1031,80,-5.2,100,3,100,Clouds,overcast clouds,10000.0,,,
01-11-2024 20:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.57,-6.59,1031,80,-5.2,100,3,110,Clouds,overcast clouds,10000.0,,,
01-11-2024 21:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-2.57,-7.44,1031,80,-5.2,100,4,120,Clouds,overcast clouds,10000.0,,,
01-11-2024 22:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-3.57,-8.67,1031,86,-5.34,100,4,120,Clouds,overcast clouds,10000.0,,,
01-11-2024 23:00:00,01-11-2024 08:28:44,01-11-2024 17:38:27,-3.57,-8.67,1031,80,-6.18,100,4,140,Clouds,overcast clouds,10000.0,,,
02-11-2024 00:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-3.57,-8.67,1031,86,-5.34,100,4,140,Clouds,overcast clouds,10000.0,,,
02-11-2024 01:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-4.57,-7.78,1030,86,-6.33,20,2,110,Clouds,few clouds,10000.0,,,
02-11-2024 02:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-5.57,-8.94,1030,93,-6.41,20,2,110,Clouds,few clouds,10000.0,,,
02-11-2024 03:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-6.57,-11.39,1030,93,-7.41,0,3,100,Clear,clear sky,10000.0,,,
02-11-2024 04:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-5.58,-10.2,1029,87,-7.19,0,3,120,Clear,clear sky,10000.0,,,
02-11-2024 05:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-6.13,-10.86,1029,87,-7.74,0,3,120,Clear,clear sky,10000.0,,,
02-11-2024 06:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-6.13,-10.86,1029,87,-7.74,0,3,120,Clear,clear sky,10000.0,,,
02-11-2024 07:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-6.69,-11.54,1029,89,-8.03,0,3,120,Clear,clear sky,10000.0,,,
02-11-2024 08:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-6.83,-10.41,1029,89,-8.17,0,2,120,Clear,clear sky,10000.0,,,
02-11-2024 09:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-7.25,-7.25,1028,89,-8.58,0,1,110,Clear,clear sky,10000.0,,,
02-11-2024 10:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-6.29,-9.78,1028,87,-7.89,0,2,130,Clear,clear sky,10000.0,,,
02-11-2024 11:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-5.17,-8.48,1027,83,-7.33,0,2,130,Clear,clear sky,10000.0,,,
02-11-2024 12:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-4.06,-8.38,1027,84,-6.1,0,3,150,Clear,clear sky,10000.0,,,
02-11-2024 13:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-2.39,-6.37,1026,81,-4.88,0,3,140,Clear,clear sky,10000.0,,,
02-11-2024 14:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-1.29,-5.87,1025,81,-3.8,40,4,150,Clouds,scattered clouds,10000.0,,,
02-11-2024 15:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-0.74,-5.19,1025,82,-3.12,40,4,140,Clouds,scattered clouds,10000.0,,,
02-11-2024 16:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-0.73,-5.18,1024,83,-2.96,40,4,140,Clouds,scattered clouds,10000.0,,,
02-11-2024 17:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-1.27,-5.03,1024,87,-2.93,75,3,130,Clouds,broken clouds,10000.0,,,
02-11-2024 18:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-1.27,-5.03,1023,89,-2.66,75,3,140,Clouds,broken clouds,10000.0,,,
02-11-2024 19:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-1.27,-5.03,1023,90,-2.53,75,3,140,Clouds,broken clouds,10000.0,,,
02-11-2024 20:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-0.72,-4.37,1022,90,-1.99,75,3,170,Clouds,broken clouds,10000.0,,,
02-11-2024 21:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-0.72,-5.17,1022,91,-1.85,75,4,160,Clouds,broken clouds,9000.0,,,
02-11-2024 22:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-0.72,-4.37,1021,93,-1.59,75,3,150,Clouds,broken clouds,7000.0,,,
02-11-2024 23:00:00,02-11-2024 08:30:56,02-11-2024 17:36:15,-0.72,-3.29,1021,93,-1.59,20,2,140,Clouds,few clouds,6000.0,,,
03-11-2024 00:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,0.4,-3.02,1020,93,-0.53,98,3,170,Clouds,overcast clouds,8000.0,,,
03-11-2024 01:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,0.83,-3.26,1020,90,-0.55,0,4,180,Clear,clear sky,10000.0,,,
03-11-2024 02:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,1.27,-2.72,1019,89,-0.3,0,4,170,Clear,clear sky,10000.0,,,
03-11-2024 03:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,1.81,-2.65,1019,88,0.04,0,5,180,Rain,moderate rain,10000.0,2.03,,
03-11-2024 04:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,1.93,-1.91,1018,89,0.31,20,4,170,Rain,heavy intensity rain,9000.0,5.08,,
03-11-2024 05:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,1.81,-2.06,1019,91,0.5,75,4,160,Rain,moderate rain,10000.0,3.05,,
03-11-2024 06:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,1.55,-2.98,1018,92,0.39,75,5,170,Clouds,broken clouds,10000.0,,,
03-11-2024 07:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,2.37,-1.95,1017,91,1.05,40,5,170,Rain,moderate rain,10000.0,1.02,,
03-11-2024 08:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,2.37,-1.95,1017,91,1.05,75,5,180,Clouds,broken clouds,10000.0,,,
03-11-2024 09:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,2.08,-1.73,1017,94,1.22,75,4,170,Clouds,broken clouds,10000.0,,,
03-11-2024 10:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,2.5,-1.79,1017,92,1.33,75,5,190,Clouds,broken clouds,10000.0,,,
03-11-2024 11:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,3.04,-1.11,1017,92,1.87,75,5,190,Rain,moderate rain,10000.0,1.02,,
03-11-2024 12:00:00,03-11-2024 08:33:07,03-11-2024 17:34:05,3.16,-0.4,1016,93,2.14,75,4,190,Clouds,broken clouds,10000.0,,,
