dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,rain.1h,wind_gust,snow.1h
01-11-2024 00:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.77,-1.77,1029,100,-1.77,75,0,0,Clouds,broken clouds,10000.0,,,
01-11-2024 01:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.66,-1.66,1029,86,-3.46,75,1,120,Clouds,broken clouds,10000.0,,,
01-11-2024 02:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.54,-1.54,1029,93,-2.41,75,0,0,Clouds,broken clouds,10000.0,,,
01-11-2024 03:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-2.1,-2.1,1029,93,-2.96,75,0,0,Clouds,broken clouds,10000.0,,,
01-11-2024 04:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-2.19,-2.19,1029,86,-3.98,75,1,0,Clouds,broken clouds,10000.0,,,
01-11-2024 05:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-2.96,-2.96,1030,93,-3.82,75,1,50,Clouds,broken clouds,10000.0,,,
01-11-2024 06:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-3.28,-3.28,1030,93,-4.14,75,1,100,Clouds,broken clouds,10000.0,,,
01-11-2024 07:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-3.82,-3.82,1030,90,-5.06,83,1.24,66,Clouds,broken clouds,,,,
01-11-2024 08:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-3.55,-6.59,1030,80,-6.16,75,2,100,Clouds,broken clouds,10000.0,,,
01-11-2024 09:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-3.87,-6.96,1030,86,-5.64,75,2,120,Clouds,broken clouds,10000.0,,,
01-11-2024 10:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-2.73,-6.78,1030,86,-4.51,75,3,120,Clouds,broken clouds,10000.0,,,
01-11-2024 11:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.6,-6.25,1030,87,-3.26,75,4,110,Clouds,broken clouds,10000.0,,,
01-11-2024 12:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.25,-5.0,1030,83,-3.47,75,3,130,Clouds,broken clouds,10000.0,,,
01-11-2024 13:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.6,-4.32,1030,80,-4.25,75,2,130,Clouds,broken clouds,10000.0,,,
01-11-2024 14:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.6,-5.42,1030,78,-4.55,75,3,110,Clouds,broken clouds,10000.0,,,
01-11-2024 15:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.44,-5.23,1030,79,-4.24,100,3,110,Clouds,overcast clouds,10000.0,,,
01-11-2024 16:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.61,-5.43,1030,77,-4.71,100,3,100,Clouds,overcast clouds,10000.0,,,
01-11-2024 17:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.95,-4.73,1030,79,-4.74,100,2,120,Clouds,overcast clouds,10000.0,,,
01-11-2024 18:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.99,-5.89,1030,80,-4.63,100,3,100,Clouds,overcast clouds,10000.0,,,
01-11-2024 19:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.95,-5.84,1031,80,-4.59,100,3,100,Clouds,overcast clouds,10000.0,,,
01-11-2024 20:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-1.86,-5.73,1031,80,-4.51,100,3,110,Clouds,overcast clouds,10000.0,,,
01-11-2024 21:00:00,01-11-2024 08:28:39,01-11-2024 17:38:09,-2.45,-7.29,1031,80,-5.08,100,4,120,Clouds,overcast clouds,10000.0,,,
