dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust
1732986000,1733020210,1733046512,-8.09,-13.6,1022,89,-9.41,0,3.35,104,Clear,clear sky,,,
1732989600,1733020210,1733046512,-8.5,-13.71,1022,91,-9.57,0,3.0,110,Clear,clear sky,10000.0,,
1732993200,1733020210,1733046512,-7.42,-12.41,1021,89,-8.75,0,3.0,120,Clear,clear sky,10000.0,,
1732996800,1733020210,1733046512,-7.7,-12.75,1021,89,-9.03,0,3.0,120,Clear,clear sky,10000.0,,
1733000400,1733020210,1733046512,-7.96,-11.73,1021,89,-9.29,0,2.0,130,Clear,clear sky,10000.0,,
1733004000,1733020210,1733046512,-8.52,-12.38,1020,90,-9.71,0,2.0,110,Clear,clear sky,10000.0,,
1733007600,1733020210,1733046512,-10.57,-14.77,1021,92,-11.5,0,2.0,110,Clear,clear sky,10000.0,,
1733011200,1733020210,1733046512,-10.35,-10.35,1021,88,-11.78,20,1.0,0,Clouds,few clouds,10000.0,,
1733014800,1733020210,1733046512,-10.07,-10.07,1020,87,-11.63,40,1.0,0,Clouds,scattered clouds,10000.0,,
1733018400,1733020210,1733046512,-10.66,-14.87,1020,87,-12.21,40,2.0,70,Clouds,scattered clouds,10000.0,,
1733022000,1733020210,1733046512,-10.37,-14.53,1020,87,-11.92,40,2.0,80,Clouds,scattered clouds,10000.0,,
1733025600,1733020210,1733046512,-9.52,-9.52,1019,88,-10.96,75,0.0,0,Clouds,broken clouds,10000.0,,
1733029200,1733020210,1733046512,-8.03,-8.03,1019,87,-9.61,40,1.0,0,Clouds,scattered clouds,10000.0,,
1733032800,1733020210,1733046512,-6.9,-6.9,1019,88,-8.37,75,0.0,0,Clouds,broken clouds,10000.0,,
1733036400,1733020210,1733046512,-5.35,-5.35,1019,86,-7.1,40,0.0,0,Clouds,scattered clouds,10000.0,,
1733040000,1733020210,1733046512,-5.01,-5.01,1018,87,-6.63,75,1.0,210,Snow,light snow,6000.0,,
1733043600,1733020210,1733046512,-6.74,-9.87,1019,93,-7.58,100,1.73,197,Clouds,overcast clouds,,,
1733047200,1733020210,1733046512,-8.42,-12.13,1018,87,-10.0,100,1.92,209,Clouds,overcast clouds,,,
1733050800,1733020210,1733046512,-8.81,-13.78,1018,85,-10.64,100,2.75,220,Clouds,overcast clouds,,,
1733054400,1733020210,1733046512,-11.94,-18.34,1019,86,-13.6,99,3.42,227,Clouds,overcast clouds,,,
1733058000,1733020210,1733046512,-11.29,-18.29,1019,84,-13.22,100,6.0,270,Snow,light snow,2100.0,,
1733061600,1733020210,1733046512,-13.21,-20.21,1020,83,-15.24,100,5.0,270,Snow,light snow,4400.0,,
1733065200,1733020210,1733046512,-13.35,-20.35,1020,82,-15.51,100,4.0,250,Snow,light snow,3300.0,,
1733068800,1733020210,1733046512,-13.91,-20.21,1020,82,-16.06,100,3.0,240,Snow,light snow,5000.0,,
