dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,main,description,visibility,snow.1h,wind_gust,rain.1h
01-01-2025 00:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-12.5,-19.5,1030,89,-13.78,100,3.87,208,Clouds,overcast clouds,,,,
01-01-2025 01:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-12.26,-19.26,1030,92,-13.18,100,4.0,200,Snow,light snow,10000.0,,,
01-01-2025 02:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-12.33,-19.33,1030,85,-14.12,100,4.0,210,Clouds,overcast clouds,10000.0,,,
01-01-2025 03:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-14.0,-20.17,1030,89,-15.27,85,2.89,197,Clouds,overcast clouds,,,,
01-01-2025 04:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-14.02,-20.01,1029,88,-15.41,84,2.76,191,Clouds,broken clouds,,,,
01-01-2025 05:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-14.97,-21.56,1029,86,-16.59,92,3.06,192,Clouds,overcast clouds,,,,
01-01-2025 06:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-15.31,-15.31,1030,85,-17.05,75,1.0,210,Clouds,broken clouds,10000.0,,,
01-01-2025 07:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-16.08,-16.08,1029,85,-17.81,75,1.0,200,Clouds,broken clouds,10000.0,,,
01-01-2025 08:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-15.97,-15.97,1029,85,-17.71,40,1.0,190,Clouds,scattered clouds,10000.0,,,
01-01-2025 09:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-17.53,-17.53,1029,78,-20.14,40,0.0,0,Clouds,scattered clouds,10000.0,,,
01-01-2025 10:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-17.99,-17.99,1029,77,-20.73,40,0.0,0,Clouds,scattered clouds,10000.0,,,
01-01-2025 11:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-17.74,-17.74,1029,85,-19.45,0,1.0,210,Clear,clear sky,10000.0,,,
01-01-2025 12:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-15.77,-15.77,1028,84,-17.63,63,1.0,180,Clouds,broken clouds,9000.0,,,
01-01-2025 13:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-14.43,-21.43,1028,83,-16.44,11,4.0,200,Clouds,few clouds,9000.0,,,
01-01-2025 14:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-12.92,-18.94,1027,85,-14.7,15,2.94,174,Clouds,few clouds,,,,
01-01-2025 15:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-13.01,-19.13,1027,84,-14.91,19,3.0,200,Clouds,few clouds,8000.0,,,
01-01-2025 16:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-12.66,-17.2,1027,83,-14.7,8,2.0,180,Clear,clear sky,9000.0,,,
01-01-2025 17:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-13.57,-19.8,1027,85,-15.34,9,3.0,210,Clear,clear sky,10000.0,,,
01-01-2025 18:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-15.54,-15.54,1027,82,-17.66,40,1.0,0,Clouds,scattered clouds,10000.0,,,
01-01-2025 19:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-15.05,-21.67,1026,82,-17.18,78,3.07,168,Clouds,broken clouds,,,,
01-01-2025 20:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-11.57,-17.4,1026,85,-13.37,40,3.0,160,Clouds,scattered clouds,9000.0,,,
01-01-2025 21:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-13.38,-19.75,1025,84,-15.28,99,3.14,167,Clouds,overcast clouds,,,,
01-01-2025 22:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-10.6,-16.23,1025,86,-12.28,75,3.0,170,Snow,light snow,10000.0,,,
01-01-2025 23:00:00,01-01-2025 09:54:30,01-01-2025 16:52:20,-10.9,-17.16,1024,85,-12.71,100,3.49,163,Clouds,overcast clouds,,,,
02-01-2025 00:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-9.29,-15.31,1024,86,-10.99,100,3.6,161,Clouds,overcast clouds,,,,
02-01-2025 01:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-8.17,-14.06,1023,87,-9.75,100,3.72,162,Clouds,overcast clouds,,,,
02-01-2025 02:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-6.81,-12.65,1023,87,-8.41,75,4.0,190,Snow,light snow,9000.0,,,
02-01-2025 03:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-6.25,-11.96,1022,87,-7.85,75,4.0,190,Snow,light snow,6000.0,,,
02-01-2025 04:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-6.14,-12.6,1021,87,-7.75,75,5.0,200,Snow,light shower snow,10000.0,,,
02-01-2025 05:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-5.7,-11.29,1020,87,-7.31,75,4.0,190,Snow,light shower snow,9000.0,,,
02-01-2025 06:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-5.71,-11.3,1020,87,-7.32,75,4.0,190,Snow,light shower snow,10000.0,,,
02-01-2025 07:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-5.6,-11.16,1020,88,-7.08,75,4.0,190,Clouds,broken clouds,10000.0,,,
02-01-2025 08:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-5.71,-12.06,1019,88,-7.19,75,5.0,190,Snow,light snow,3600.0,,,
02-01-2025 09:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-5.7,-12.04,1018,88,-7.18,75,5.0,190,Snow,light shower snow,9000.0,,,
02-01-2025 10:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-5.57,-11.13,1018,88,-7.05,75,4.0,190,Snow,light shower snow,8000.0,,,
02-01-2025 11:00:00,02-01-2025 09:54:11,02-01-2025 16:53:33,-5.57,-11.88,1017,90,-6.79,75,5.0,190,Snow,light shower snow,6000.0,,,
